i,j,x,y,z
0,0,-1.25546, 9.12067, 0.972933
0,1,-2.14709, 8.39828, 0.826693
0,2,-3.57137, 7.0839, 0.69122
0,3,-5.42953, 5.23963, 0.582191
0,4,-8.19665, 1.45138, 0.365823
0,5,-8.22827, 0.948355, 0.266599
0,6,-7.61837, 0.633643, 0.242822
0,7,-5.6877, 0.311796, 0.215879
0,8,-3.49415, 0.194983, 0.105356
0,9,-1.44383, 0.0744885, 0.0574382
1,0,-2.45287, 8.35837, 0.722227
1,1,-3.2363, 7.75338, 0.647552
1,2,-4.50553, 6.63125, 0.530001
1,3,-6.09077, 5.04133, 0.466195
1,4,-8.53518, 1.89531, 0.361329
1,5,-8.61565, 1.29462, 0.305095
1,6,-8.08725, 0.568153, 0.363375
1,7,-6.09155, 0.276991, 0.28722
1,8,-3.75359, 0.177017, 0.134967
1,9,-1.5195, 0.0693721, 0.068074
2,0,-3.24784, 7.7005, 0.544107
2,1,-4.08499, 7.10659, 0.484257
2,2,-5.18519, 6.16425, 0.348689
2,3,-6.47685, 4.81917, 0.36478
2,4,-8.41027, 2.10222, 0.295339
2,5,-8.49843, 1.4551, 0.310902
2,6,-7.88126, 0.623184, 0.405334
2,7,-5.87999, 0.251224, 0.318106
2,8,-3.6172, 0.140127, 0.142552
2,9,-1.41911, 0.0453172, 0.0750196
3,0,-3.6872, 6.96642, 0.405403
3,1,-4.66175, 6.36959, 0.332437
3,2,-5.78341, 5.53257, 0.15736
3,3,-6.75617, 4.55104, 0.237814
3,4,-7.97305, 2.33331, 0.290221
3,5,-7.92656, 1.50718, 0.27583
3,6,-7.02635, 0.658503, 0.35668
3,7,-5.15007, 0.226409, 0.302313
3,8,-3.14431, 0.120344, 0.129711
3,9,-1.20281, 0.0364596, 0.0771852
4,0,-3.4339, 3.6095, 0.108322
4,1,-4.7402, 3.73795, 0.117296
4,2,-6.09565, 3.6689, 0.0806514
4,3,-6.75009, 3.17145, 0.0991789
4,4,-6.6877, 2.18025, 0.219436
4,5,-6.30418, 1.45924, 0.253839
4,6,-5.27464, 0.585915, 0.324561
4,7,-3.5724, 0.140846, 0.279658
4,8,-2.08404, 0.0329015, 0.130467
4,9,-0.709344, -0.0309782, 0.0683946
5,0,-2.59475, 2.34373, 0.0266152
5,1,-3.59932, 2.61477, 0.0348436
5,2,-4.5598, 2.65748, 0.0358025
5,3,-4.97377, 2.41621, 0.0596308
5,4,-4.78565, 1.73784, 0.100133
5,5,-4.28802, 1.2434, 0.111389
5,6,-3.31154, 0.539874, 0.175432
5,7,-2.02102, 0.13768, 0.134308
5,8,-1.10324, 0.0565254, 0.0607738
5,9,-0.298809, 0.01641, 0.0400203
6,0,-1.49201, 1.11595, -0.0468882
6,1,-2.0657, 1.35875, -0.0286513
6,2,-2.6025, 1.43088, -0.0260771
6,3,-2.72947, 1.36682, -0.014777
6,4,-2.52202, 1.01809, -0.00690712
6,5,-2.17385, 0.815799, 0.0114857
6,6,-1.4301, 0.362671, 0.0489836
6,7,-0.650556, 0.0912838, 0.0801738
6,8,-0.290251, 0.0175279, 0.0228274
6,9,0.0186, 0.0045, 0.008
7,0,-0.637217, 0.336883, -0.00120859
7,1,-0.811268, 0.41574, -0.0106343
7,2,-0.91432, 0.465736, -0.0076562
7,3,-0.92787, 0.470177, -0.018014
7,4,-0.807821, 0.418367, -0.014836
7,5,-0.641144, 0.318605, -0.0180842
7,6,-0.282015, 0.137383, 0.000985427
7,7,0.0145, 0.0026, 0.002
7,8,0.0142, 0.0176, 0.0016
7,9,0.0067, 0.014, 0.0039
8,0,0.0147, 0.0024, 0.012
8,1,0.0037, 0.0074, 0.0154
8,2,0.0069, 0.0014, 0.0138
8,3,0.0005, 0.0059, 0.002
8,4,0.003, 0.0006, 0.0193
8,5,0.0105, 0.016, 0.0178
8,6,0.0108, 0.0101, 0.0096
8,7,0.0097, 0.0047, 0.0123
8,8,0.0117, 0.0166, 0.0077
8,9,0.0133, 0.0012, 0.0195
9,0,0.0149, 0.0136, 0.002
9,1,0.007, 0.0173, 0.0072
9,2,0.0003, 0.002, 0.0086
9,3,0.0118, 0.0025, 0.0122
9,4,0.0138, 0.0056, 0.0128
9,5,0.011, 0.0138, 0.0066
9,6,0.0089, 0.0048, 0.0144
9,7,0.0185, 0.0122, 0.0191
9,8,0.0086, 0.0017, 0.0135
9,9,0.0164, 0.015, 0.0147
