i,j,x,y,z
0,0,-10.3575, -0.232253, 0.508347
0,1,-10.4373, -0.158423, 0.599995
0,2,-10.2826, 0.107324, 0.596408
0,3,-9.72458, 0.741722, 0.541184
0,4,-3.34052, 6.68293, 0.448347
0,5,-1.89305, 7.67195, 0.710875
0,6,-0.749553, 8.25178, 0.782513
0,7,-0.299441, 8.25366, 0.801408
0,8,-0.284739, 7.85471, 0.714346
0,9,-0.217084, 7.0419, 0.590908
1,0,-10.3776, -0.0682047, 0.58681
1,1,-10.3218, 0.0622526, 0.595667
1,2,-10.0661, 0.464871, 0.578983
1,3,-9.46646, 1.20856, 0.549629
1,4,-3.74872, 7.04756, 0.541762
1,5,-2.22753, 8.05246, 0.799221
1,6,-0.902066, 8.66115, 0.854939
1,7,-0.322081, 8.78162, 0.861425
1,8,-0.238977, 8.50811, 0.789838
1,9,-0.162284, 7.82738, 0.74136
2,0,-9.95973, 0.797806, 0.376959
2,1,-9.80457, 1.05704, 0.361325
2,2,-9.42544, 1.59151, 0.38261
2,3,-8.80108, 2.33902, 0.398317
2,4,-4.19959, 7.13865, 0.492778
2,5,-2.65748, 8.09626, 0.732656
2,6,-1.24076, 8.72618, 0.816965
2,7,-0.550078, 8.92372, 0.872549
2,8,-0.323078, 8.76077, 0.894344
2,9,-0.1829, 8.24638, 0.855403
3,0,-9.16314, 2.04633, 0.14876
3,1,-8.88772, 2.49657, 0.16948
3,2,-8.40361, 3.11372, 0.25863
3,3,-7.73256, 3.79679, 0.351291
3,4,-4.36245, 7.14639, 0.552419
3,5,-2.80692, 8.06342, 0.783225
3,6,-1.45024, 8.67093, 0.884662
3,7,-0.696003, 8.92731, 0.939255
3,8,-0.384199, 8.84454, 0.962686
3,9,-0.195767, 8.40771, 0.939802
4,0,-6.40906, 4.304, -0.41316
4,1,-6.57622, 4.98053, -0.189497
4,2,-6.19345, 5.75516, 0.0670493
4,3,-5.49443, 6.36224, 0.256842
4,4,-4.19732, 7.2083, 0.575299
4,5,-2.66938, 8.09752, 0.772044
4,6,-1.45983, 8.66109, 0.887039
4,7,-0.76158, 8.90359, 0.933361
4,8,-0.420288, 8.84709, 0.983134
4,9,-0.162355, 8.42086, 0.948762
5,0,-6.0723, 4.06417, -0.493881
5,1,-6.41587, 4.8157, -0.209893
5,2,-6.05073, 5.61375, 0.0615054
5,3,-5.20023, 6.39795, 0.242411
5,4,-3.91923, 7.2819, 0.544921
5,5,-2.42189, 8.17024, 0.777514
5,6,-1.36311, 8.70057, 0.877468
5,7,-0.759333, 8.90981, 0.909759
5,8,-0.452985, 8.84191, 0.942856
5,9,-0.238862, 8.38588, 0.913244
6,0,-5.03448, 3.55434, -0.268691
6,1,-5.77004, 4.39973, -0.144281
6,2,-5.47011, 5.33181, 0.0379499
6,3,-4.74725, 6.19522, 0.279117
6,4,-3.58518, 7.13743, 0.553476
6,5,-2.17368, 8.08064, 0.749663
6,6,-1.25414, 8.59043, 0.865802
6,7,-0.711078, 8.78204, 0.884037
6,8,-0.452425, 8.66526, 0.874782
6,9,-0.281232, 8.10677, 0.808242
7,0,-3.68692, 2.66443, -0.135686
7,1,-4.32245, 3.50652, -0.0659069
7,2,-4.40691, 4.44196, 0.0653366
7,3,-3.89964, 5.49907, 0.258595
7,4,-2.99761, 6.59006, 0.52489
7,5,-1.93802, 7.7012, 0.680321
7,6,-1.12556, 8.31035, 0.8039
7,7,-0.683736, 8.47575, 0.830897
7,8,-0.441044, 8.28816, 0.813266
7,9,-0.278211, 7.58454, 0.74642
8,0,-2.25489, 1.61285, -0.0876394
8,1,-2.74037, 2.25627, -0.0738806
8,2,-2.99574, 3.1093, 0.0197464
8,3,-2.79185, 4.25495, 0.189884
8,4,-2.25279, 5.4726, 0.416806
8,5,-1.47972, 6.69389, 0.586411
8,6,-0.992358, 7.56048, 0.684138
8,7,-0.669814, 7.70414, 0.739392
8,8,-0.423336, 7.43233, 0.777312
8,9,-0.245692, 6.39208, 0.646217
9,0,-0.802119, 0.651901, 0.0350207
9,1,-1.0462, 0.998211, 0.0426006
9,2,-1.29511, 1.61716, 0.0988764
9,3,-1.33838, 2.65186, 0.201458
9,4,-1.24845, 3.82239, 0.32508
9,5,-0.909664, 4.98997, 0.461916
9,6,-0.70173, 5.77222, 0.547565
9,7,-0.516735, 5.94404, 0.574328
9,8,-0.363803, 5.63844, 0.568967
9,9,-0.197082, 4.73579, 0.484518
