i,j,x,y,z
0,0,-7.07767, 0.609645, 0.427909
0,1,-6.34872, 1.77901, 0.403342
0,2,-5.3629, 3.22931, 0.503479
0,3,-3.73406, 4.94128, 0.661115
0,4,-1.95236, 6.56732, 0.739712
0,5,-1.10954, 7.08077, 0.79402
0,6,-0.435557, 6.86851, 0.779952
0,7,-0.255265, 5.73158, 0.610174
0,8,-0.114112, 3.89329, 0.42935
0,9,0.0183526, 2.03716, 0.234235
1,0,-6.01937, 0.697638, 0.324655
1,1,-5.94788, 2.06461, 0.356906
1,2,-5.08614, 3.80723, 0.474866
1,3,-3.56204, 5.62545, 0.74025
1,4,-1.91694, 7.08236, 0.772791
1,5,-1.15141, 7.56589, 0.818116
1,6,-0.521976, 7.41437, 0.825171
1,7,-0.294631, 6.35528, 0.662543
1,8,-0.134729, 4.40036, 0.480487
1,9,0.0156969, 2.33187, 0.272375
2,0,-4.78378, 0.673487, 0.243557
2,1,-4.71832, 2.15459, 0.332193
2,2,-4.11983, 3.83118, 0.46995
2,3,-3.00867, 5.66612, 0.649544
2,4,-1.72983, 7.19125, 0.714447
2,5,-1.15019, 7.60159, 0.765732
2,6,-0.524983, 7.49157, 0.785708
2,7,-0.288003, 6.65357, 0.665398
2,8,-0.142382, 4.54272, 0.490272
2,9,0.0146894, 2.39263, 0.269789
3,0,-3.5563, 0.561288, 0.182266
3,1,-3.54175, 1.97029, 0.285856
3,2,-3.19082, 3.56204, 0.4193
3,3,-2.43069, 5.34585, 0.573933
3,4,-1.45686, 6.79639, 0.640382
3,5,-0.943167, 7.18927, 0.7494
3,6,-0.476494, 6.9872, 0.724204
3,7,-0.306185, 5.95484, 0.597277
3,8,-0.13729, 4.10534, 0.439409
3,9,0.00861127, 2.18924, 0.245327
4,0,-0.881003, 0.448126, 0.0312551
4,1,-1.0787, 1.57165, 0.12757
4,2,-1.20148, 2.88328, 0.263554
4,3,-1.11929, 4.29433, 0.412311
4,4,-0.975227, 5.21954, 0.500247
4,5,-0.696213, 5.55189, 0.561116
4,6,-0.421798, 5.30449, 0.556973
4,7,-0.272598, 4.49707, 0.450521
4,8,-0.116676, 3.03419, 0.329566
4,9,-0.00210773, 1.6241, 0.174897
5,0,0.018, 0.0088, 0.0196
5,1,-0.114486, 0.674202, 0.0401333
5,2,-0.241894, 1.51001, 0.128734
5,3,-0.308424, 2.48896, 0.202505
5,4,-0.340398, 3.17165, 0.271333
5,5,-0.325657, 3.40899, 0.312084
5,6,-0.275744, 3.30125, 0.306686
5,7,-0.209019, 2.88764, 0.266094
5,8,-0.0902858, 1.94061, 0.202397
5,9,0.0134217, 1.06457, 0.104159
6,0,0.0004, 0.0173, 0.0157
6,1,-0.030936, 0.309948, 0.0189916
6,2,-0.0690449, 0.687432, 0.0750237
6,3,-0.0902191, 1.12035, 0.114259
6,4,-0.100417, 1.31892, 0.150136
6,5,-0.0927794, 1.39555, 0.149561
6,6,-0.0813107, 1.32467, 0.153938
6,7,-0.0484248, 1.12443, 0.130475
6,8,-0.0056006, 0.69307, 0.0899579
6,9,-0.00137954, 0.307231, 0.0323106
7,0,0.0081, 0.0132, 0
7,1,0.004, 0.0111, 0.0168
7,2,0.006, 0.0154, 0.0105
7,3,0.0146, 0.015, 0.0124
7,4,0.0164, 0.0156, 0.0144
7,5,0.0132, 0.0179, 0.0183
7,6,0.0137, 0.0189, 0.0065
7,7,0.0055, 0.0164, 0.0145
7,8,0.0153, 0.0018, 0.0125
7,9,0.0163, 0.003, 0.0055
8,0,0.019, 0.0089, 0.0187
8,1,0.0167, 0.0129, 0.0076
8,2,0.0114, 0.0166, 0.0008
8,3,0.002, 0.0091, 0.0159
8,4,0.0121, 0.0033, 0.0116
8,5,0.0066, 0.0143, 0.0096
8,6,0.0027, 0.0081, 0.0087
8,7,0.0092, 0.0136, 0.0029
8,8,0.0039, 0.0067, 0.0047
8,9,0.0141, 0.0032, 0.0055
9,0,0.0173, 0, 0.0144
9,1,0.0162, 0.0144, 0.0051
9,2,0.0016, 0.0059, 0.0194
9,3,0.0025, 0.0056, 0.0086
9,4,0.0184, 0.0177, 0.012
9,5,0.0078, 0.0022, 0.0064
9,6,0.0174, 0.0049, 0.0122
9,7,0.0039, 0.0119, 0.0059
9,8,0.0069, 0.0158, 0.0104
9,9,0.0093, 0.01, 0.0136
