i,j,x,y,z
0,0,-10.3095, 0.936283, 0.0546802
0,1,-10.2984, 0.656468, 0.175438
0,2,-10.2575, 0.525986, 0.280299
0,3,-9.97962, 0.712507, 0.342846
0,4,-3.34052, 6.68293, 0.448347
0,5,-1.89305, 7.67195, 0.710875
0,6,-0.749553, 8.25178, 0.782513
0,7,-0.299441, 8.25366, 0.801408
0,8,-0.284739, 7.85471, 0.714346
0,9,-0.217084, 7.0419, 0.590908
1,0,-10.2883, 0.67162, 0.173223
1,1,-10.2733, 0.611, 0.219773
1,2,-10.1766, 0.623829, 0.296755
1,3,-9.83157, 0.95432, 0.358574
1,4,-3.74872, 7.04756, 0.541762
1,5,-2.22753, 8.05246, 0.799221
1,6,-0.902066, 8.66115, 0.854939
1,7,-0.322081, 8.78162, 0.861425
1,8,-0.238977, 8.50811, 0.789838
1,9,-0.162284, 7.82738, 0.74136
2,0,-10.1517, 0.752314, 0.208368
2,1,-10.0803, 0.841695, 0.216676
2,2,-9.85509, 1.1109, 0.256271
2,3,-9.38954, 1.64688, 0.298901
2,4,-4.19959, 7.13865, 0.492778
2,5,-2.65748, 8.09626, 0.732656
2,6,-1.24076, 8.72618, 0.816965
2,7,-0.550078, 8.92372, 0.872549
2,8,-0.323078, 8.76077, 0.894344
2,9,-0.1829, 8.24638, 0.855403
3,0,-9.61366, 1.44909, 0.169265
3,1,-9.45542, 1.69681, 0.179701
3,2,-9.10713, 2.14273, 0.230921
3,3,-8.53124, 2.77259, 0.29884
3,4,-4.36245, 7.14639, 0.552419
3,5,-2.80692, 8.06342, 0.783225
3,6,-1.45024, 8.67093, 0.884662
3,7,-0.696003, 8.92731, 0.939255
3,8,-0.384199, 8.84454, 0.962686
3,9,-0.195767, 8.40771, 0.939802
4,0,-6.31969, 4.6239, -0.372419
4,1,-6.31475, 5.28067, -0.189005
4,2,-5.96724, 5.9317, 0.00606384
4,3,-5.38649, 6.449, 0.165013
4,4,-4.17602, 7.31019, 0.476573
4,5,-2.82343, 8.06505, 0.687752
4,6,-1.57179, 8.62895, 0.85581
4,7,-0.818826, 8.87897, 0.917824
4,8,-0.420288, 8.84709, 0.983134
4,9,-0.162355, 8.42086, 0.948762
5,0,-5.97678, 4.82918, -0.390312
5,1,-5.92887, 5.62628, -0.189347
5,2,-5.47808, 6.33178, -0.00467348
5,3,-4.86066, 6.90104, 0.130689
5,4,-3.80225, 7.68542, 0.395731
5,5,-2.70035, 8.26368, 0.619323
5,6,-1.55318, 8.73532, 0.824314
5,7,-0.849037, 8.92586, 0.924867
5,8,-0.425942, 8.89645, 0.990553
5,9,-0.229046, 8.44248, 0.956104
6,0,-5.15937, 5.06442, -0.170666
6,1,-5.01115, 6.08158, -0.0668926
6,2,-4.50428, 6.88134, 0.0652645
6,3,-3.95202, 7.43721, 0.206253
6,4,-3.05335, 8.13325, 0.406611
6,5,-2.25552, 8.54727, 0.566186
6,6,-1.42777, 8.85389, 0.730333
6,7,-0.8832, 8.95895, 0.827529
6,8,-0.524052, 8.88562, 0.878185
6,9,-0.309576, 8.41908, 0.874175
7,0,-4.44388, 5.00257, -0.213375
7,1,-4.25441, 6.25948, -0.0425916
7,2,-3.96564, 7.05842, 0.0840759
7,3,-3.45103, 7.64756, 0.232962
7,4,-2.67079, 8.26317, 0.403962
7,5,-2.08851, 8.57691, 0.524394
7,6,-1.3704, 8.82283, 0.665484
7,7,-0.889988, 8.86536, 0.778431
7,8,-0.533054, 8.73922, 0.846334
7,9,-0.307523, 8.20857, 0.871742
8,0,-3.39603, 4.5244, -0.0918769
8,1,-3.45891, 5.93206, 0.0440794
8,2,-3.30352, 7.06375, 0.193252
8,3,-2.90044, 7.68965, 0.281514
8,4,-2.28693, 8.24483, 0.42634
8,5,-1.83481, 8.5026, 0.50446
8,6,-1.31763, 8.66273, 0.581888
8,7,-0.892339, 8.62389, 0.716375
8,8,-0.530802, 8.4287, 0.841654
8,9,-0.278745, 7.7957, 0.882664
9,0,-2.20973, 3.73114, 0.0464709
9,1,-2.38993, 5.25258, 0.182449
9,2,-2.24277, 6.64007, 0.364918
9,3,-2.13615, 7.33252, 0.40805
9,4,-1.78107, 7.86578, 0.475962
9,5,-1.64509, 8.06849, 0.43491
9,6,-1.23942, 8.15821, 0.484564
9,7,-0.816572, 8.05452, 0.637644
9,8,-0.493438, 7.75465, 0.771514
9,9,-0.252379, 7.00018, 0.772592
