i,j,x,y
0,0,447.954, 266.739
0,1,470.004, 280.059
0,2,481.298, 286.159
0,3,474.018, 290.646
0,4,400.834, 253.115
0,5,304.966, 195.869
0,6,223.604, 152.382
0,7,159.961, 112.001
0,8,97.713, 71.9515
0,9,59.9332, 47.1454
1,0,467.566, 279.941
1,1,494.979, 294.791
1,2,506.06, 302.14
1,3,490.35, 302.253
1,4,408.026, 257.689
1,5,313.201, 207.466
1,6,236.639, 167.082
1,7,176.704, 130.435
1,8,119.797, 93.998
1,9,79.816, 66.3297
2,0,477.856, 279.673
2,1,508.496, 299.928
2,2,518.409, 307.52
2,3,487.267, 303.843
2,4,400.112, 262.443
2,5,308.819, 214.705
2,6,236.382, 178.707
2,7,181.46, 144.79
2,8,135.242, 113.494
2,9,95.1832, 84.5426
3,0,480.218, 280.649
3,1,511.158, 301.337
3,2,517.773, 306.267
3,3,478.096, 300.059
3,4,383.963, 257.176
3,5,289.764, 216.995
3,6,224.152, 183.785
3,7,178.583, 152.913
3,8,141.228, 124.678
3,9,104.454, 97.3295
4,0,465.765, 279.988
4,1,489.318, 293.006
4,2,485.025, 293.54
4,3,436.844, 285.566
4,4,343.747, 246.246
4,5,249.003, 210.107
4,6,194.963, 188.819
4,7,165.66, 161.592
4,8,138.466, 135.442
4,9,103.749, 108.408
5,0,429.708, 271.016
5,1,447.419, 287.398
5,2,436.396, 282.623
5,3,378.161, 273.059
5,4,296.769, 243.416
5,5,214.135, 209.986
5,6,175.324, 194.698
5,7,152.912, 173.12
5,8,128.764, 150.759
5,9,98.8672, 123.395
6,0,359.695, 269.761
6,1,368.872, 278.275
6,2,353.329, 267.785
6,3,300.94, 254.551
6,4,236.086, 228.579
6,5,179.08, 208.954
6,6,151.857, 196.639
6,7,131.606, 183.664
6,8,110.423, 165.972
6,9,87.3174, 139.337
7,0,285.216, 253.343
7,1,289.51, 264.085
7,2,274.847, 249.798
7,3,236.558, 237.108
7,4,193.577, 219.994
7,5,151.764, 206.677
7,6,129.12, 198.617
7,7,110.337, 191.622
7,8,89.5855, 177.305
7,9,72.8003, 147.191
8,0,213.396, 232.502
8,1,220.247, 246.795
8,2,213.758, 234.782
8,3,197.711, 225.359
8,4,169.343, 211.996
8,5,136.101, 205.142
8,6,111.601, 202.17
8,7,91.2885, 197.303
8,8,72.6285, 180.664
8,9,57.0231, 145.237
9,0,148.6, 200.474
9,1,162.277, 216.323
9,2,166.241, 208.902
9,3,159.677, 197.572
9,4,139.299, 188.555
9,5,116.934, 189.072
9,6,96.3598, 186.804
9,7,74.9635, 183.889
9,8,58.624, 166.808
9,9,43.3473, 128.899
