i,j,x,y
0,0,0.0009, 0.0034
0,1,0.0184, 0.0139
0,2,0.0111, 0.0068
0,3,0.0197, 0.0009
0,4,0.0083, 0.0183
0,5,0.0097, 0.0013
0,6,0.0066, 0.016
0,7,0.0027, 0.0081
0,8,0.0142, 0.0179
0,9,0.011, 0.0002
1,0,10.8333, 9.02359
1,1,13.6666, 11.3429
1,2,15.5776, 12.9072
1,3,15.6415, 12.9164
1,4,13.8187, 11.3866
1,5,11.0001, 9.05317
1,6,5.05041, 4.02472
1,7,0.0006, 0.0021
1,8,0.0041, 0.018
1,9,0.003, 0.0101
2,0,78.2877, 53.6077
2,1,85.6633, 59.0349
2,2,84.852, 58.8983
2,3,75.9197, 52.9468
2,4,54.2834, 38.2635
2,5,29.78, 20.9866
2,6,6.70545, 5.32951
2,7,0.0022, 0.0147
2,8,0.0103, 0.0146
2,9,0.0058, 0.0183
3,0,147.682, 101.107
3,1,158.133, 109.223
3,2,152.872, 106.423
3,3,134.64, 94.4211
3,4,93.1037, 65.8977
3,5,55.191, 38.9349
3,6,14.4306, 11.5402
3,7,4.97789, 4.02307
3,8,0.0022, 0.0076
3,9,0.0187, 0.0121
4,0,226.938, 161.294
4,1,237.518, 168.762
4,2,224.754, 160.349
4,3,192.728, 139.255
4,4,132.058, 97.0182
4,5,81.5923, 57.4942
4,6,17.594, 14.0755
4,7,6.61405, 5.33123
4,8,0.0056, 0.0062
4,9,0.0034, 0.0047
5,0,282.599, 206.971
5,1,295.196, 214.453
5,2,277.771, 198.749
5,3,224.379, 165.12
5,4,149.177, 113.277
5,5,92.261, 65.0622
5,6,19.6902, 15.7819
5,7,8.06281, 6.47587
5,8,0.0123, 0.0172
5,9,0.0024, 0.0009
6,0,294.22, 224.904
6,1,295.781, 224.042
6,2,288.827, 213.243
6,3,234.82, 176.145
6,4,153.657, 119.002
6,5,95.2997, 67.2925
6,6,19.6258, 15.7422
6,7,8.64845, 6.97346
6,8,0.0116, 0.0165
6,9,0.0077, 0.0182
7,0,276.048, 224.252
7,1,273.298, 225.161
7,2,281.878, 219.047
7,3,225.51, 175.203
7,4,142.636, 113.407
7,5,87.9575, 61.7777
7,6,16.8207, 13.4915
7,7,8.05216, 6.49004
7,8,0.0089, 0.0079
7,9,0.0191, 0.0131
8,0,231.71, 202.913
8,1,230.285, 206.967
8,2,223.778, 188.136
8,3,190.555, 155.6
8,4,114.163, 94.9959
8,5,67.8413, 46.4878
8,6,9.33786, 7.5249
8,7,6.62422, 5.3297
8,8,0.003, 0.0134
8,9,0.0118, 0.0078
9,0,141.759, 140.019
9,1,145.145, 144.226
9,2,136.836, 131.246
9,3,117.473, 108.497
9,4,64.3184, 61.9494
9,5,42.7495, 30.1873
9,6,6.6079, 5.33363
9,7,4.98506, 4.02239
9,8,0, 0.0156
9,9,0.0017, 0.0167
