i,j,x,y
0,0,0.0009, 0.0034
0,1,0.0184, 0.0139
0,2,0.0111, 0.0068
0,3,0.0197, 0.0009
0,4,0.0083, 0.0183
0,5,0.0097, 0.0013
0,6,0.0066, 0.016
0,7,0.0027, 0.0081
0,8,0.0142, 0.0179
0,9,0.011, 0.0002
1,0,10.8333, 9.02359
1,1,13.6666, 11.3429
1,2,15.5776, 12.9072
1,3,15.6415, 12.9164
1,4,13.8187, 11.3866
1,5,11.0001, 9.05317
1,6,5.05041, 4.02472
1,7,0.0006, 0.0021
1,8,0.0041, 0.018
1,9,0.003, 0.0101
2,0,78.2877, 53.6077
2,1,85.6633, 59.0349
2,2,84.852, 58.8983
2,3,75.9197, 52.9468
2,4,54.2834, 38.2635
2,5,29.78, 20.9866
2,6,6.70545, 5.32951
2,7,0.0022, 0.0147
2,8,0.0103, 0.0146
2,9,0.0058, 0.0183
3,0,159.071, 107.264
3,1,172.829, 117.068
3,2,170.875, 115.777
3,3,155.552, 105.451
3,4,116.732, 78.922
3,5,78.8826, 52.5317
3,6,36.5418, 24.5644
3,7,11.4638, 8.0904
3,8,5.03974, 3.19381
3,9,0.0187, 0.0121
4,0,249.641, 174.627
4,1,267.466, 186.146
4,2,259.921, 179.908
4,3,235.419, 163.217
4,4,181.037, 125.636
4,5,129.596, 87.0441
4,6,63.0566, 42.6146
4,7,15.6826, 11.0021
4,8,6.69182, 4.23533
4,9,0.0034, 0.0047
5,0,306.459, 219.998
5,1,328.102, 232.229
5,2,317.586, 219.402
5,3,280.742, 194.981
5,4,213.376, 149.31
5,5,152.821, 102.183
5,6,77.129, 51.8568
5,7,19.7554, 13.7699
5,8,8.15416, 5.16671
5,9,0.0024, 0.0009
6,0,320.394, 238.292
6,1,335.158, 244.415
6,2,338.601, 237.975
6,3,317.548, 219.101
6,4,233.074, 163.393
6,5,165.026, 109.963
6,6,84.9568, 56.9446
6,7,21.5863, 15.0334
6,8,8.76241, 5.55117
6,9,0.0077, 0.0182
7,0,304.285, 238.119
7,1,316.633, 246.292
7,2,335.58, 245.105
7,3,317.606, 227.02
7,4,228.434, 163.122
7,5,160.007, 107.13
7,6,80.9276, 54.3151
7,7,19.7455, 13.783
7,8,8.15093, 5.15787
7,9,0.0191, 0.0131
8,0,260.638, 217.286
8,1,272.634, 227.629
8,2,278.345, 215.572
8,3,260.424, 194.367
8,4,190.434, 140.342
8,5,133.671, 88.9249
8,6,65.7099, 43.8549
8,7,15.6922, 11.0006
8,8,6.68933, 4.24224
8,9,0.0118, 0.0078
9,0,171.078, 155.952
9,1,185.038, 165.816
9,2,187.547, 158.571
9,3,175.862, 141.779
9,4,126.408, 99.5117
9,5,96.24, 64.8327
9,6,51.2278, 34.2627
9,7,11.4707, 8.08975
9,8,5.03761, 3.20157
9,9,0.0017, 0.0167
