i,j,x,y
0,0,149.358, 79.535
0,1,167.887, 88.7576
0,2,167.53, 88.4684
0,3,148.48, 78.84
0,4,110.125, 58.8756
0,5,57.6698, 30.5299
0,6,15.8476, 9.36241
0,7,0.0027, 0.0081
0,8,0.0142, 0.0179
0,9,0.011, 0.0002
1,0,245.794, 134.691
1,1,275.826, 148.755
1,2,272.993, 147.529
1,3,237.893, 130.643
1,4,171.446, 95.1351
1,5,91.4756, 53.3245
1,6,33.4498, 22.2932
1,7,6.68702, 5.31895
1,8,5.04159, 4.02326
1,9,0.003, 0.0101
2,0,342.341, 191.679
2,1,386.353, 209.42
2,2,378.921, 205.209
2,3,327.048, 183.069
2,4,243.996, 139.403
2,5,143.255, 85.6688
2,6,63.3227, 42.1035
2,7,15.7529, 12.5381
2,8,11.5307, 9.17498
2,9,0.0058, 0.0183
3,0,409.118, 234.697
3,1,436.079, 248.468
3,2,418.472, 235.795
3,3,381.45, 218.645
3,4,290.926, 170.207
3,5,189.214, 116.222
3,6,98.8387, 65.8507
3,7,31.0463, 23.7919
3,8,19.1004, 14.4457
3,9,0.0187, 0.0121
4,0,438.479, 264.727
4,1,455.996, 267.211
4,2,422.917, 249.251
4,3,386.914, 230.878
4,4,309.302, 188.58
4,5,219.144, 140.424
4,6,127.026, 86.644
4,7,43.401, 33.314
4,8,26.8477, 20.4003
4,9,0.0034, 0.0047
5,0,419.336, 270.33
5,1,434.575, 276.361
5,2,400, 254.14
5,3,369.788, 237.053
5,4,296.64, 195.969
5,5,220.209, 151.979
5,6,139.523, 100.614
5,7,53.5092, 41.0579
5,8,33.6786, 25.6763
5,9,0.0024, 0.0009
6,0,359.695, 269.761
6,1,359.677, 270.933
6,2,326.393, 246.22
6,3,303.228, 229.488
6,4,249.169, 191.946
6,5,199.392, 153.789
6,6,141.538, 108.953
6,7,60.9251, 50.2916
6,8,38.219, 29.9654
6,9,0.0077, 0.0182
7,0,285.216, 253.343
7,1,277.869, 255.142
7,2,256.13, 232.28
7,3,240.313, 216.447
7,4,200.895, 178.457
7,5,167.925, 144.615
7,6,126.224, 104.054
7,7,60.6551, 51.4344
7,8,37.9586, 30.0727
7,9,0.0191, 0.0131
8,0,213.396, 232.502
8,1,209.913, 237.923
8,2,198.828, 219.175
8,3,194.622, 206.526
8,4,173.934, 171.905
8,5,152.602, 139.117
8,6,113.607, 97.7184
8,7,53.5843, 47.2764
8,8,32.3959, 26.0273
8,9,0.0118, 0.0078
9,0,148.6, 200.474
9,1,158.028, 210.412
9,2,160.457, 198.861
9,3,157.804, 182.025
9,4,139.655, 153.733
9,5,126.01, 123.175
9,6,91.4928, 83.2898
9,7,43.8301, 40.2514
9,8,25.4723, 20.8079
9,9,0.0017, 0.0167
