i,j,x,y
0,0,0.0009, 0.0034
0,1,0.0184, 0.0139
0,2,0.0111, 0.0068
0,3,0.0197, 0.0009
0,4,0.0083, 0.0183
0,5,0.0097, 0.0013
0,6,0.0066, 0.016
0,7,0.0027, 0.0081
0,8,0.0142, 0.0179
0,9,0.011, 0.0002
1,0,0.0163, 0.0198
1,1,0.0143, 0.0004
1,2,0.0171, 0.0171
1,3,0.0147, 0.011
1,4,0.0079, 0.0098
1,5,0.0034, 0.0089
1,6,0.0132, 0.0195
1,7,0.0006, 0.0021
1,8,0.0041, 0.018
1,9,0.003, 0.0101
2,0,0.0164, 0.0128
2,1,0.0115, 0.0031
2,2,0.0066, 0.0142
2,3,0.0089, 0.0009
2,4,0.0099, 0
2,5,0.0011, 0.004
2,6,0.0198, 0.0131
2,7,0.0022, 0.0147
2,8,0.0103, 0.0146
2,9,0.0058, 0.0183
3,0,37.9258, 27.3866
3,1,36.3562, 26.3488
3,2,30.9011, 22.4505
3,3,24.0029, 17.4719
3,4,5.03897, 4.00649
3,5,0.0186, 0.0178
3,6,0.0112, 0.0102
3,7,0.001, 0.0178
3,8,0.0022, 0.0076
3,9,0.0187, 0.0121
4,0,84.2923, 70.7333
4,1,79.1623, 68.0179
4,2,65.2376, 57.3645
4,3,49.3185, 44.0694
4,4,8.16267, 12.8367
4,5,0.0195, 0.013
4,6,0.0106, 0.0023
4,7,0.0085, 0.0149
4,8,0.0056, 0.0062
4,9,0.0034, 0.0047
5,0,126.691, 119.411
5,1,114.845, 113.461
5,2,91.0757, 93.6944
5,3,67.3315, 70.8659
5,4,11.4632, 23.867
5,5,0.0045, 0.0142
5,6,0.0104, 0.0161
5,7,0.0194, 0.0012
5,8,0.0123, 0.0172
5,9,0.0024, 0.0009
6,0,170.686, 163.12
6,1,138.686, 146.474
6,2,104.336, 115.304
6,3,75.6182, 84.1459
6,4,12.8757, 28.8171
6,5,0.0077, 0.0089
6,6,0.0053, 0.0103
6,7,0.0026, 0.0153
6,8,0.0116, 0.0165
6,9,0.0077, 0.0182
7,0,170.423, 174.822
7,1,130.567, 162.061
7,2,103.111, 125.208
7,3,76.118, 89.9182
7,4,12.8922, 31.3819
7,5,0.017, 0.0035
7,6,0.0163, 0.011
7,7,0.0082, 0.0161
7,8,0.0089, 0.0079
7,9,0.0191, 0.0131
8,0,138.221, 156.062
8,1,112.5, 151.47
8,2,92.0715, 117.905
8,3,69.5478, 85.4296
8,4,11.6003, 30.3726
8,5,0.0028, 0.0039
8,6,0.0072, 0.0154
8,7,0.0191, 0.0133
8,8,0.003, 0.0134
8,9,0.0118, 0.0078
9,0,101.191, 116.775
9,1,91.9925, 114.775
9,2,75.9179, 95.9615
9,3,58.5112, 72.3878
9,4,9.50292, 26.2135
9,5,0.0175, 0.0142
9,6,0.0021, 0.0174
9,7,0.0084, 0.0171
9,8,0, 0.0156
9,9,0.0017, 0.0167
