i,j,x,y
0,0,236.29, 131.198
0,1,290.523, 166.309
0,2,312.206, 183.513
0,3,307.896, 184.866
0,4,258.65, 157.811
0,5,191.837, 117.402
0,6,112.568, 70.9234
0,7,40.5007, 24.3475
0,8,0.0142, 0.0179
0,9,0.011, 0.0002
1,0,327.805, 181.944
1,1,385.973, 219.943
1,2,410.259, 241.849
1,3,411.03, 251.037
1,4,348.138, 212.837
1,5,262.602, 161.246
1,6,164.472, 102.665
1,7,71.8325, 43.0031
1,8,5.04159, 4.02326
1,9,0.003, 0.0101
2,0,409.855, 226.047
2,1,458.077, 260.115
2,2,466.957, 272.651
2,3,461.642, 278.71
2,4,423.505, 261.49
2,5,330.257, 203.501
2,6,219.125, 137.605
2,7,106.267, 66.2139
2,8,11.5307, 9.17498
2,9,0.0058, 0.0183
3,0,442.462, 250.847
3,1,482.881, 279.351
3,2,482.711, 282.436
3,3,472.723, 282.092
3,4,440.311, 264.145
3,5,358.706, 220.245
3,6,251.551, 158.714
3,7,132.394, 84.6199
3,8,25.0175, 19.1807
3,9,5.05574, 4.01754
4,0,457.01, 271.453
4,1,489.989, 287.908
4,2,478.635, 284.587
4,3,456.917, 276.689
4,4,426.22, 261.155
4,5,355.156, 222.966
4,6,258.998, 167.298
4,7,145.066, 95.8451
4,8,40.0512, 30.9894
4,9,11.5243, 9.16576
5,0,429.708, 271.016
5,1,456.46, 287.835
5,2,438.707, 278.118
5,3,411.97, 266.703
5,4,380.398, 254.342
5,5,312.757, 212.626
5,6,238.118, 165.484
5,7,148.597, 105.389
5,8,50.4461, 39.1494
5,9,14.5031, 11.5317
6,0,359.695, 269.761
6,1,375.932, 278.34
6,2,355.8, 262.355
6,3,332.802, 246.064
6,4,298.853, 222.803
6,5,255.579, 190.818
6,6,204.338, 152.95
6,7,135.566, 102.649
6,8,57.4076, 45.2877
6,9,16.4716, 13.1087
7,0,285.216, 253.343
7,1,292.711, 263.367
7,2,278.685, 247.361
7,3,261.098, 230.177
7,4,232.31, 203.492
7,5,205.472, 174.696
7,6,171.115, 140.162
7,7,116.592, 95.6008
7,8,57.1864, 45.379
7,9,16.4818, 13.1042
8,0,213.396, 232.502
8,1,219.641, 245.237
8,2,212.3, 231.407
8,3,207.376, 217.9
8,4,191.484, 196.763
8,5,175.338, 164.607
8,6,144.232, 127.563
8,7,92.4724, 81.8688
8,8,49.3259, 39.4559
8,9,14.5117, 11.538
9,0,148.6, 200.474
9,1,159.351, 213.776
9,2,162.274, 204.794
9,3,161.132, 188.637
9,4,147.511, 166.927
9,5,136.42, 139.578
9,6,107.311, 102.775
9,7,64.5633, 61.8504
9,8,38.8063, 31.3584
9,9,11.5227, 9.17693
