x,y,r,g,b
0,0,0.0135, 0.0115, 0.0052
0,1,0.0277744, 0.032256, 0.020502
0,2,0.063925, 0.0821773, 0.071742
0,3,0.145996, 0.157001, 0.148034
0,4,0.237407, 0.253373, 0.236117
0,5,0.29874, 0.30596, 0.290386
0,6,0.326195, 0.324844, 0.326128
0,7,0.320941, 0.315663, 0.322092
0,8,0.2815, 0.26129, 0.272935
0,9,0.208352, 0.197813, 0.200262
1,0,0.0369103, 0.0306834, 0.0409829
1,1,0.0932642, 0.11007, 0.105519
1,2,0.168436, 0.186571, 0.18633
1,3,0.290898, 0.327015, 0.312067
1,4,0.41473, 0.447475, 0.427963
1,5,0.514443, 0.525207, 0.51598
1,6,0.568679, 0.575465, 0.569275
1,7,0.552774, 0.553037, 0.555381
1,8,0.495697, 0.464549, 0.478416
1,9,0.383685, 0.359999, 0.367135
2,0,0.0751048, 0.0586206, 0.0834801
2,1,0.175458, 0.179776, 0.192787
2,2,0.294359, 0.312432, 0.32797
2,3,0.456582, 0.485861, 0.480175
2,4,0.587452, 0.627856, 0.60865
2,5,0.684432, 0.711265, 0.702787
2,6,0.755964, 0.769399, 0.76485
2,7,0.740921, 0.745977, 0.748575
2,8,0.670133, 0.649638, 0.667756
2,9,0.549131, 0.516921, 0.543526
3,0,0.128299, 0.103558, 0.126794
3,1,0.263462, 0.262834, 0.283606
3,2,0.437204, 0.448064, 0.462749
3,3,0.600339, 0.63411, 0.630877
3,4,0.710991, 0.769638, 0.743825
3,5,0.790169, 0.830889, 0.818452
3,6,0.837151, 0.856984, 0.850708
3,7,0.828553, 0.834047, 0.834974
3,8,0.804359, 0.756875, 0.791013
3,9,0.688059, 0.65128, 0.676117
4,0,0.16825, 0.149604, 0.156799
4,1,0.348199, 0.349005, 0.357826
4,2,0.550587, 0.55149, 0.568472
4,3,0.721998, 0.71218, 0.740372
4,4,0.784875, 0.823728, 0.818053
4,5,0.827768, 0.870883, 0.857302
4,6,0.866516, 0.88805, 0.871177
4,7,0.859718, 0.867734, 0.859425
4,8,0.854228, 0.832061, 0.842009
4,9,0.777291, 0.753384, 0.772033
5,0,0.20573, 0.199122, 0.190383
5,1,0.425089, 0.414314, 0.41002
5,2,0.636401, 0.621644, 0.627412
5,3,0.786267, 0.779223, 0.778949
5,4,0.834648, 0.84652, 0.839843
5,5,0.864827, 0.882966, 0.864602
5,6,0.885872, 0.898136, 0.879146
5,7,0.871589, 0.886165, 0.875767
5,8,0.870447, 0.868026, 0.861342
5,9,0.816428, 0.796721, 0.806619
6,0,0.224271, 0.207623, 0.184152
6,1,0.456893, 0.425061, 0.434053
6,2,0.676905, 0.651397, 0.645525
6,3,0.819651, 0.793972, 0.777521
6,4,0.868456, 0.846798, 0.837262
6,5,0.885199, 0.871953, 0.865048
6,6,0.891943, 0.887319, 0.874342
6,7,0.872465, 0.881226, 0.875307
6,8,0.865172, 0.880841, 0.85539
6,9,0.803788, 0.802099, 0.79959
7,0,0.213543, 0.203676, 0.180574
7,1,0.445477, 0.40144, 0.403967
7,2,0.663601, 0.621792, 0.603677
7,3,0.817873, 0.767258, 0.732131
7,4,0.875978, 0.813268, 0.805378
7,5,0.892303, 0.847638, 0.84837
7,6,0.895442, 0.868328, 0.858022
7,7,0.8633, 0.865864, 0.852195
7,8,0.82977, 0.874121, 0.821385
7,9,0.760146, 0.78934, 0.763544
8,0,0.172777, 0.166489, 0.133595
8,1,0.380815, 0.352161, 0.331546
8,2,0.606304, 0.553542, 0.530048
8,3,0.778965, 0.713825, 0.666459
8,4,0.858662, 0.769928, 0.768208
8,5,0.885836, 0.818059, 0.816778
8,6,0.889944, 0.84813, 0.827968
8,7,0.850116, 0.83578, 0.820769
8,8,0.791563, 0.832787, 0.77868
8,9,0.700425, 0.724309, 0.70755
9,0,0.119272, 0.132193, 0.0985901
9,1,0.304429, 0.258219, 0.253267
9,2,0.499439, 0.444906, 0.432494
9,3,0.664288, 0.587803, 0.57503
9,4,0.785123, 0.687014, 0.704644
9,5,0.830982, 0.761589, 0.761156
9,6,0.841501, 0.7953, 0.778597
9,7,0.798127, 0.77706, 0.759531
9,8,0.702769, 0.748431, 0.682699
9,9,0.590754, 0.610205, 0.580708
