x,y,r,g,b
0,0,0.0135, 0.0115, 0.0052
0,1,0.0078, 0.002, 0.0003
0,2,0.0386557, 0.0436979, 0.0468008
0,3,0.0815259, 0.0764076, 0.0837593
0,4,0.129272, 0.129361, 0.127768
0,5,0.172944, 0.164461, 0.162885
0,6,0.188056, 0.172423, 0.187974
0,7,0.186576, 0.169749, 0.187974
0,8,0.177387, 0.154245, 0.167579
0,9,0.125467, 0.113823, 0.116529
1,0,0.0068, 0.0108, 0.011
1,1,0.0296168, 0.0484492, 0.0429222
1,2,0.0929919, 0.111337, 0.112944
1,3,0.176708, 0.213398, 0.202087
1,4,0.268566, 0.300057, 0.285785
1,5,0.366452, 0.369564, 0.368542
1,6,0.414852, 0.415341, 0.415689
1,7,0.415939, 0.402314, 0.419426
1,8,0.390552, 0.352896, 0.36966
1,9,0.300213, 0.273314, 0.281418
2,0,0.0062, 0.0029, 0.0152
2,1,0.0600893, 0.0692217, 0.080223
2,2,0.162787, 0.187191, 0.204009
2,3,0.303702, 0.336776, 0.33577
2,4,0.433841, 0.474988, 0.465605
2,5,0.554178, 0.577655, 0.582551
2,6,0.622044, 0.632509, 0.63683
2,7,0.627035, 0.617483, 0.638576
2,8,0.58796, 0.562344, 0.584989
2,9,0.481548, 0.4445, 0.475101
3,0,0.0449585, 0.0357468, 0.0433101
3,1,0.129508, 0.138899, 0.153858
3,2,0.291212, 0.320089, 0.324859
3,3,0.451322, 0.510089, 0.497363
3,4,0.594644, 0.659063, 0.650992
3,5,0.719322, 0.764429, 0.764236
3,6,0.781965, 0.800785, 0.802748
3,7,0.786484, 0.775399, 0.795188
3,8,0.763696, 0.706292, 0.747562
3,9,0.645878, 0.604109, 0.632315
4,0,0.0767798, 0.0755701, 0.0640686
4,1,0.212249, 0.228577, 0.224161
4,2,0.40697, 0.437636, 0.431773
4,3,0.581338, 0.626204, 0.612068
4,4,0.70537, 0.776666, 0.759364
4,5,0.783665, 0.841821, 0.828213
4,6,0.840101, 0.86353, 0.846677
4,7,0.843829, 0.836571, 0.843467
4,8,0.833221, 0.807837, 0.819229
4,9,0.754049, 0.727635, 0.74824
5,0,0.090827, 0.101961, 0.0842587
5,1,0.281028, 0.283531, 0.277645
5,2,0.502885, 0.509571, 0.510906
5,3,0.673642, 0.698294, 0.686324
5,4,0.773378, 0.81019, 0.803061
5,5,0.833343, 0.863294, 0.849463
5,6,0.867759, 0.882906, 0.870361
5,7,0.8656, 0.868484, 0.870433
5,8,0.858143, 0.85549, 0.848166
5,9,0.802812, 0.781635, 0.792271
6,0,0.114489, 0.110796, 0.0833819
6,1,0.310191, 0.293902, 0.30377
6,2,0.55809, 0.557534, 0.545966
6,3,0.748611, 0.752189, 0.723009
6,4,0.829813, 0.835325, 0.817641
6,5,0.864752, 0.873363, 0.861687
6,6,0.880994, 0.892506, 0.875134
6,7,0.874843, 0.884486, 0.877865
6,8,0.865172, 0.880841, 0.85539
6,9,0.803788, 0.802099, 0.79959
7,0,0.111426, 0.111697, 0.0920693
7,1,0.310836, 0.287583, 0.288645
7,2,0.546894, 0.534251, 0.511654
7,3,0.740909, 0.722811, 0.676373
7,4,0.828594, 0.796575, 0.777593
7,5,0.861515, 0.849475, 0.835391
7,6,0.874918, 0.875473, 0.849059
7,7,0.857605, 0.874253, 0.846033
7,8,0.82977, 0.874121, 0.821385
7,9,0.760146, 0.78934, 0.763544
8,0,0.0994971, 0.0926523, 0.0759532
8,1,0.260962, 0.244649, 0.234829
8,2,0.487431, 0.446694, 0.44372
8,3,0.673977, 0.619735, 0.606168
8,4,0.804813, 0.733541, 0.738738
8,5,0.855181, 0.810476, 0.802213
8,6,0.870779, 0.849074, 0.818552
8,7,0.842436, 0.844537, 0.811575
8,8,0.791563, 0.832787, 0.77868
8,9,0.700425, 0.724309, 0.70755
9,0,0.073895, 0.0874817, 0.0693225
9,1,0.20715, 0.173002, 0.176929
9,2,0.389686, 0.353005, 0.35136
9,3,0.558574, 0.506916, 0.497314
9,4,0.69973, 0.645699, 0.636823
9,5,0.790857, 0.753877, 0.734896
9,6,0.818539, 0.795435, 0.765179
9,7,0.786947, 0.783241, 0.746204
9,8,0.702769, 0.748431, 0.682699
9,9,0.590754, 0.610205, 0.580708
