i,j,x,y
0,0,5.96494, 15.1672
0,1,7.5713, 19.1661
0,2,13.7227, 29.0009
0,3,15.5026, 31.4643
0,4,21.1806, 35.0529
0,5,22.0282, 33.5761
0,6,20.1303, 26.4385
0,7,16.4401, 18.2438
0,8,14.1324, 15.2739
0,9,7.46213, 6.4584
1,0,12.3722, 25.6239
1,1,24.3052, 42.3814
1,2,41.9822, 68.884
1,3,55.8741, 85.463
1,4,69.4206, 96.3205
1,5,73.1767, 96.6175
1,6,74.7393, 88.6577
1,7,65.5191, 71.7392
1,8,51.8802, 55.2473
1,9,33.8414, 31.1022
2,0,18.64, 38.5239
2,1,39.6818, 69.122
2,2,68.7036, 112.59
2,3,92.5627, 141.741
2,4,115.681, 157.887
2,5,126.397, 161.99
2,6,130.285, 151.539
2,7,120.172, 128.742
2,8,98.7869, 102.191
2,9,69.3934, 64.4215
3,0,45.2304, 67.8958
3,1,71.3946, 108.584
3,2,101.553, 160.73
3,3,129.198, 194.584
3,4,160.296, 211.732
3,5,174.768, 218.951
3,6,184.26, 204.191
3,7,177.053, 178.657
3,8,155.56, 150.238
3,9,123.708, 108.258
4,0,85.1504, 93.3157
4,1,114.39, 136.756
4,2,141.192, 183.203
4,3,166.642, 219.338
4,4,199.04, 245.688
4,5,211.97, 256.302
4,6,230.498, 241.305
4,7,224.284, 216.801
4,8,207.183, 188.495
4,9,179.88, 149.754
5,0,120.121, 108.054
5,1,151.942, 147.443
5,2,174.788, 191.043
5,3,193.205, 228.482
5,4,222.322, 254.462
5,5,235.791, 265.685
5,6,256.306, 251.999
5,7,259.301, 234.372
5,8,244.831, 210.721
5,9,219.538, 176.413
6,0,158.235, 110.482
6,1,192.142, 145.479
6,2,218.139, 184.208
6,3,230.743, 218.786
6,4,253.915, 248.055
6,5,260.727, 262.575
6,6,281.303, 253.771
6,7,289.062, 242.235
6,8,280.5, 227.184
6,9,261.518, 198.441
7,0,179.145, 106.167
7,1,221.524, 136.425
7,2,253.252, 168.539
7,3,268.186, 203.378
7,4,291.911, 239.636
7,5,290.445, 258.57
7,6,303.12, 254.149
7,7,306.129, 244.845
7,8,301.631, 234.621
7,9,288.074, 201.582
8,0,188.717, 98.5824
8,1,236.627, 121.231
8,2,273.153, 146.963
8,3,284.964, 173.899
8,4,312.509, 210.043
8,5,302.458, 235.485
8,6,306.766, 234.331
8,7,306.756, 229.08
8,8,295.717, 213.984
8,9,259.58, 184.023
9,0,185.119, 86.0038
9,1,245.67, 105.658
9,2,281.03, 124.557
9,3,291.742, 149.134
9,4,316.156, 184.102
9,5,308.824, 207.929
9,6,293.749, 205.836
9,7,283.383, 200.212
9,8,268.289, 187.14
9,9,217.629, 152.85
