i,j,x,y
0,0,318.354, 248.335
0,1,326.016, 257.989
0,2,338.829, 256.667
0,3,339.013, 252.468
0,4,428.036, 334.992
0,5,465.857, 324.399
0,6,506.885, 293.821
0,7,534.114, 271.275
0,8,556.101, 254.404
0,9,565.007, 241.897
1,0,326.016, 257.989
1,1,331.27, 258.404
1,2,340.642, 255.661
1,3,337.538, 251.77
1,4,421.754, 340.905
1,5,466.505, 323.157
1,6,515.396, 283.121
1,7,536.848, 263.121
1,8,550.396, 246.413
1,9,557.144, 228.896
2,0,338.829, 256.667
2,1,340.642, 255.661
2,2,340.263, 253.18
2,3,332.941, 249.665
2,4,412.972, 342.85
2,5,464.485, 312.744
2,6,510.627, 270.416
2,7,524.862, 246.82
2,8,533.309, 224.305
2,9,537.597, 208.671
3,0,339.013, 252.468
3,1,337.538, 251.77
3,2,332.941, 249.665
3,3,327.363, 246.226
3,4,396.025, 337.108
3,5,447.693, 301.558
3,6,488.761, 261.391
3,7,502.697, 231.307
3,8,509.975, 201.834
3,9,509.676, 180.915
4,0,265.212, 393.205
4,1,271.789, 389.047
4,2,287.858, 380.694
4,3,318.667, 358.367
4,4,364.333, 321.35
4,5,419.843, 279.657
4,6,456.305, 241.782
4,7,482.057, 209.92
4,8,478.942, 172.706
4,9,470.73, 146.434
5,0,233.748, 389.508
5,1,235.748, 383.344
5,2,245.438, 368.454
5,3,267.995, 337.146
5,4,308.757, 289.959
5,5,374.733, 230.397
5,6,422.535, 206.528
5,7,432.49, 167.919
5,8,426.591, 132.149
5,9,417.941, 105.174
6,0,195.141, 358.559
6,1,193.863, 347.726
6,2,198.919, 332.049
6,3,210.229, 299.026
6,4,233.181, 252.649
6,5,282.965, 210.627
6,6,341.464, 159.647
6,7,366.273, 130.879
6,8,380.07, 104.315
6,9,386.852, 83.9075
7,0,164.78, 328.143
7,1,159.538, 310.788
7,2,150.952, 287.285
7,3,151.36, 253.355
7,4,174.501, 220.872
7,5,212.871, 185.239
7,6,271.565, 140.463
7,7,313.287, 106.778
7,8,342.267, 82.3364
7,9,358.127, 68.4335
8,0,131.889, 295.525
8,1,123.629, 273.102
8,2,117.227, 252.989
8,3,125.567, 227.388
8,4,146.587, 194.001
8,5,182.578, 160.273
8,6,229.251, 119.749
8,7,274.949, 88.9107
8,8,310.698, 66.8885
8,9,332.295, 54.6678
9,0,105.214, 266.123
9,1,100.604, 252.205
9,2,97.3736, 236.66
9,3,105.897, 211.472
9,4,128.58, 181.727
9,5,165.455, 147.278
9,6,209.105, 109.201
9,7,259.338, 82.0648
9,8,292.539, 65.3572
9,9,317.982, 53.7179
