i,j,x,y
0,0,323.572, 217.442
0,1,302.949, 240.06
0,2,292.374, 242.026
0,3,283.034, 239.797
0,4,250.017, 381.785
0,5,184.896, 393.003
0,6,138.064, 381.302
0,7,105.294, 369.533
0,8,78.2626, 360.172
0,9,60.789, 344.625
1,0,302.949, 240.06
1,1,298.068, 242.198
1,2,290.123, 241.494
1,3,281.702, 239.599
1,4,260.801, 378.103
1,5,206.932, 378.033
1,6,142.098, 361.325
1,7,105.733, 342.907
1,8,79.7656, 329.16
1,9,60.6151, 302.943
2,0,292.374, 242.026
2,1,290.123, 241.494
2,2,284.537, 240.09
2,3,278.624, 239.506
2,4,277.413, 361.663
2,5,224.802, 353.353
2,6,158.322, 328.261
2,7,108.649, 299.391
2,8,82.492, 285.941
2,9,67.4617, 271.443
3,0,283.034, 239.797
3,1,281.702, 239.599
3,2,278.624, 239.506
3,3,275.773, 240.379
3,4,290.881, 337.227
3,5,240.652, 328.907
3,6,170.993, 300.8
3,7,116.893, 271.511
3,8,91.4193, 253.607
3,9,77.4851, 238.071
4,0,381.116, 321.146
4,1,378.784, 320.258
4,2,374.903, 310.577
4,3,355.589, 306.682
4,4,319.471, 304.826
4,5,264.188, 290.7
4,6,197.072, 266.433
4,7,138.762, 237.502
4,8,118.525, 219.829
4,9,99.145, 191.576
5,0,423.301, 308.15
5,1,422.985, 297.428
5,2,416.111, 276.114
5,3,384.246, 273.491
5,4,347.364, 266.606
5,5,294.226, 248.513
5,6,231.108, 226.452
5,7,187.491, 202.374
5,8,160.95, 177.209
5,9,142.646, 158.32
6,0,465.927, 284.83
6,1,458.372, 272.409
6,2,451.402, 256.932
6,3,421.348, 247.574
6,4,377.449, 236.27
6,5,319.589, 215.696
6,6,247.918, 198.515
6,7,226.103, 175.624
6,8,204.361, 154.023
6,9,188.497, 137.67
7,0,511.363, 267.288
7,1,491.504, 258.081
7,2,479.833, 243.133
7,3,458.684, 229.276
7,4,401.763, 212.857
7,5,344.79, 189.633
7,6,291.45, 170.718
7,7,258.011, 154.29
7,8,236.706, 132.615
7,9,220.337, 116.526
8,0,542.443, 253.215
8,1,525.056, 241.946
8,2,510.23, 225.204
8,3,470.077, 205.052
8,4,422.528, 185.562
8,5,368.187, 163.58
8,6,317.935, 146.231
8,7,292.249, 132.923
8,8,275.526, 107.933
8,9,260.721, 94.235
9,0,563.567, 245.416
9,1,546.447, 231.188
9,2,524.68, 216.081
9,3,481.971, 191.989
9,4,434.517, 168.501
9,5,383.664, 145.441
9,6,333.741, 126.04
9,7,308.343, 112.95
9,8,294.864, 94.5503
9,9,287.652, 82.0459
