i,j,x,y
0,0,0.0072, 0.0005
0,1,0.0194, 0.0173
0,2,0.0007, 0.0129
0,3,0.0142, 0.0101
0,4,0.013, 0.0193
0,5,0.0087, 0.0067
0,6,0.0131, 0.0186
0,7,0.0106, 0.0028
0,8,0.0084, 0.0099
0,9,0.0108, 0.0142
1,0,4.73627, 5.47633
1,1,6.29852, 7.26092
1,2,7.66746, 8.83108
1,3,8.23105, 9.50115
1,4,11.9246, 13.4881
1,5,11.9942, 13.4855
1,6,11.7704, 13.1425
1,7,7.81858, 8.54831
1,8,7.27362, 7.95492
1,9,5.97897, 6.5307
2,0,9.69915, 14.303
2,1,18.7201, 26.2417
2,2,31.9617, 43.3912
2,3,43.8513, 59.4798
2,4,51.4763, 68.1571
2,5,52.5603, 69.0691
2,6,50.1474, 65.259
2,7,39.1724, 49.5056
2,8,28.6268, 35.9274
2,9,15.7275, 19.5599
3,0,24.2137, 37.8437
3,1,43.1673, 64.9053
3,2,69.3592, 99.6678
3,3,92.6573, 130.057
3,4,113.413, 144.06
3,5,118.003, 145.598
3,6,112.972, 133.988
3,7,96.4507, 108.367
3,8,74.0983, 79.1844
3,9,45.5515, 44.4201
4,0,63.2753, 67.8975
4,1,95.6794, 109.832
4,2,127.669, 151.945
4,3,153.059, 189.118
4,4,177.629, 205.377
4,5,182.318, 209.614
4,6,175.22, 193.649
4,7,150.284, 161.678
4,8,116.617, 119.585
4,9,74.4402, 71.8021
5,0,103.626, 91.1077
5,1,146.993, 135.938
5,2,178.906, 179.723
5,3,196.655, 218.927
5,4,220.004, 234.782
5,5,227.733, 247.875
5,6,222.574, 232.432
5,7,196.53, 194.883
5,8,150.169, 145.853
5,9,93.3696, 87.0698
6,0,159.089, 100.612
6,1,211.178, 141.639
6,2,247.922, 180.872
6,3,256.065, 213.966
6,4,267.953, 235.865
6,5,264.477, 254.701
6,6,260.888, 246.955
6,7,248.549, 215.972
6,8,181.359, 162.557
6,9,106.122, 96.4196
7,0,182.883, 102.343
7,1,240.662, 139.699
7,2,275.417, 170.569
7,3,283.955, 201.788
7,4,290.381, 227.118
7,5,277.847, 244.937
7,6,267.601, 243.775
7,7,245.351, 214.41
7,8,182.122, 161.248
7,9,104.709, 94.8886
8,0,193.849, 93.209
8,1,255.814, 122.61
8,2,295.617, 153.393
8,3,302.02, 182.352
8,4,314.746, 210.835
8,5,296.246, 230.869
8,6,268.239, 221.542
8,7,228.186, 195.046
8,8,165.804, 144.906
8,9,90.7974, 82.3232
9,0,187.312, 79.9782
9,1,259.512, 103.445
9,2,297.772, 125.473
9,3,305.261, 152.55
9,4,318.515, 182.584
9,5,303.284, 195.256
9,6,250.741, 179.161
9,7,196.181, 153.373
9,8,133.268, 109.589
9,9,69.1702, 61.1387
