i,j,x,y
0,0,307.276, 235.683
0,1,310.535, 220.148
0,2,320.73, 218.215
0,3,328.341, 218.794
0,4,423.58, 351.411
0,5,464.729, 326.545
0,6,505.089, 294.087
0,7,534.449, 268.636
0,8,552.133, 253.618
0,9,560.716, 240.197
1,0,310.535, 220.148
1,1,314.748, 218.502
1,2,322.89, 218.323
1,3,329.15, 218.958
1,4,418.902, 350.974
1,5,468.323, 317.896
1,6,512.418, 278.565
1,7,535.712, 254.992
1,8,545.767, 241.126
1,9,551.398, 226.238
2,0,320.73, 218.215
2,1,322.89, 218.323
2,2,327.345, 218.661
2,3,330.693, 219.691
2,4,421.384, 338.181
2,5,470.491, 296.233
2,6,506.275, 254.882
2,7,518.997, 229.714
2,8,522.756, 214.422
2,9,526.261, 200.695
3,0,328.341, 218.794
3,1,329.15, 218.958
3,2,330.693, 219.691
3,3,331.383, 221.652
3,4,407.184, 316.287
3,5,451.585, 274.942
3,6,480.843, 238.474
3,7,487.975, 207.802
3,8,492.498, 189.15
3,9,497.579, 174.164
4,0,246.632, 396.01
4,1,257.024, 386.65
4,2,281.676, 365.021
4,3,332.041, 329.758
4,4,384.838, 284.249
4,5,430.48, 245.998
4,6,456.32, 215.305
4,7,453.405, 181.637
4,8,454.554, 159.89
4,9,459.378, 140.556
5,0,212.282, 368.417
5,1,219.611, 354.566
5,2,240.753, 328.282
5,3,294.707, 293.419
5,4,361.48, 250.245
5,5,391.553, 212.289
5,6,415.218, 193.379
5,7,405.866, 156.151
5,8,407.012, 130.297
5,9,412.626, 106.426
6,0,164.914, 326.551
6,1,168.384, 309.613
6,2,186.586, 287.813
6,3,232.09, 261.17
6,4,274.623, 228.621
6,5,309.293, 198.439
6,6,335.455, 167.123
6,7,354.974, 138.484
6,8,367.661, 110.946
6,9,379.788, 87.2111
7,0,127.636, 290.582
7,1,133.152, 275.995
7,2,141.339, 254.185
7,3,171.587, 234.911
7,4,204.478, 209.512
7,5,238.629, 185.284
7,6,280.164, 148.102
7,7,307.621, 118.202
7,8,329.907, 90.8751
7,9,349.663, 69.0404
8,0,110.757, 272.797
8,1,110.078, 253.674
8,2,114.155, 237.943
8,3,134.519, 218.615
8,4,159.481, 193.143
8,5,192.03, 166.054
8,6,231.919, 131.264
8,7,264.722, 101.409
8,8,296.045, 75.5087
8,9,322.094, 56.999
9,0,93.6015, 253.613
9,1,89.9604, 240.784
9,2,89.0766, 228.414
9,3,101.19, 207.268
9,4,123.439, 182.21
9,5,156.525, 153.046
9,6,196.74, 119.731
9,7,233.94, 93.1653
9,8,275.735, 72.0111
9,9,308.337, 55.6593
