i,j,x,y
0,0,0.0072, 0.0005
0,1,0.0194, 0.0173
0,2,0.0007, 0.0129
0,3,0.0142, 0.0101
0,4,0.013, 0.0193
0,5,0.0087, 0.0067
0,6,0.0131, 0.0186
0,7,0.0106, 0.0028
0,8,0.0084, 0.0099
0,9,0.0108, 0.0142
1,0,0.0022, 0.0143
1,1,0.0155, 0.011
1,2,0.0163, 0.002
1,3,0.0072, 0.0123
1,4,0.0146, 0.0115
1,5,0.0024, 0.002
1,6,0.0097, 0.0019
1,7,0.017, 0.0082
1,8,0.0148, 0.0091
1,9,0.0183, 0.0056
2,0,3.55885, 7.34864
2,1,10.4381, 16.9656
2,2,13.2829, 21.342
2,3,15.3345, 24.2565
2,4,15.6209, 24.276
2,5,13.95, 21.3948
2,6,11.1865, 17.0111
2,7,5.85863, 7.51444
2,8,0.0169, 0.0067
2,9,0.0094, 0.0117
3,0,17.4161, 30.5111
3,1,34.1461, 55.7033
3,2,48.815, 77.5711
3,3,55.5776, 87.2307
3,4,56.888, 87.9354
3,5,51.9012, 79.385
3,6,39.4434, 59.7409
3,7,23.925, 33.995
3,8,8.3785, 11.96
3,9,0.0012, 0.0112
4,0,45.8445, 54.8838
4,1,78.8261, 98.5671
4,2,104.938, 132.979
4,3,116.409, 149.127
4,4,118.238, 150.242
4,5,108.25, 135.78
4,6,84.1969, 102.155
4,7,48.101, 61.2329
4,8,17.4826, 21.2449
4,9,0.0112, 0.0128
5,0,75.0802, 76.2046
5,1,124.447, 127.766
5,2,155.064, 167.872
5,3,165.177, 189.129
5,4,168.834, 190.804
5,5,155.932, 172.229
5,6,121.226, 127.453
5,7,69.8054, 76.6875
5,8,21.8888, 26.3887
5,9,0.0096, 0.0063
6,0,99.8906, 85.4362
6,1,159.453, 140.031
6,2,198.734, 184.143
6,3,210.796, 199.361
6,4,205.976, 204.467
6,5,192.548, 197.17
6,6,148.031, 140.841
6,7,79.8973, 84.8699
6,8,24.6929, 29.334
6,9,0.0056, 0.0113
7,0,109.846, 86.5977
7,1,175.899, 138.994
7,2,220.916, 177.76
7,3,243.539, 186.942
7,4,231.541, 192.885
7,5,203.675, 178.649
7,6,155.626, 133.306
7,7,81.7028, 82.2857
7,8,24.4701, 28.5595
7,9,0.0069, 0.0136
8,0,109.178, 78.9416
8,1,176.164, 124.963
8,2,225.019, 158.8
8,3,244.905, 155.721
8,4,238.291, 156.017
8,5,199.837, 148.159
8,6,148.935, 111.65
8,7,74.6607, 70.676
8,8,21.3898, 24.5402
8,9,0.0081, 0.005
9,0,96.9581, 61.5286
9,1,157.226, 94.8057
9,2,202.146, 117.166
9,3,233.368, 116.409
9,4,211.664, 117.653
9,5,177.814, 109.919
9,6,128.446, 78.8876
9,7,59.0371, 51.2446
9,8,16.9047, 19.1501
9,9,0.0132, 0.0046
