i,j,x,y
0,0,136.055, 97.7514
0,1,175.677, 130.589
0,2,205.214, 153.797
0,3,223.137, 168.835
0,4,231.945, 169.829
0,5,236.031, 163.709
0,6,269.612, 152.201
0,7,310.481, 136.685
0,8,322.646, 128.181
0,9,304.676, 125.679
1,0,160.293, 115.982
1,1,208.266, 152.292
1,2,239.667, 178.591
1,3,246.701, 191.365
1,4,251.185, 194.193
1,5,249.764, 183.727
1,6,282.073, 168.486
1,7,320.533, 152.115
1,8,335.737, 140.786
1,9,332.581, 134.864
2,0,179.419, 133.137
2,1,238.12, 168.019
2,2,253.593, 195.173
2,3,248.267, 205.973
2,4,251.576, 204.318
2,5,251.034, 195.385
2,6,282.256, 178.401
2,7,314.052, 161.898
2,8,328.962, 147.843
2,9,324.168, 133.725
3,0,184.881, 148.755
3,1,236.6, 189.187
3,2,241.543, 205.459
3,3,238.302, 213.454
3,4,247.355, 214.143
3,5,248.636, 205.721
3,6,278.412, 187.973
3,7,301.834, 169.241
3,8,323.974, 154.442
3,9,325.286, 142.733
4,0,178.103, 155.378
4,1,212.635, 195.533
4,2,222.072, 218.569
4,3,224.286, 229.148
4,4,238.815, 236.65
4,5,239.195, 232.281
4,6,268.962, 208.839
4,7,285.97, 188.639
4,8,298.92, 170.972
4,9,294.786, 152.541
5,0,169.894, 149.563
5,1,191.821, 183.987
5,2,200.142, 210.049
5,3,205.3, 227.638
5,4,223.744, 244.679
5,5,230.832, 248.254
5,6,265.765, 223.944
5,7,279.693, 205.905
5,8,284.7, 187.187
5,9,277.363, 164.251
6,0,168.275, 134.694
6,1,188.611, 166.807
6,2,202.961, 194.617
6,3,211.815, 220.115
6,4,232.267, 247.036
6,5,245.15, 256.971
6,6,290.08, 236.376
6,7,301.409, 222.293
6,8,302.871, 206.18
6,9,293.836, 185.673
7,0,175.26, 117.197
7,1,203.933, 143.533
7,2,227.553, 170.57
7,3,243, 199.666
7,4,270.984, 236.889
7,5,277.061, 257.564
7,6,307.748, 243.038
7,7,312.623, 231.461
7,8,312.546, 220.257
7,9,305.613, 195.622
8,0,188.762, 99.3
8,1,224.544, 121.07
8,2,255.901, 145.205
8,3,269.279, 170.409
8,4,301.045, 209.255
8,5,297.801, 235.349
8,6,316.701, 225.742
8,7,321.824, 217.982
8,8,320.798, 203.44
8,9,305.374, 184.175
9,0,188.181, 82.5409
9,1,241.758, 100.681
9,2,275.697, 119.703
9,3,287.684, 144.713
9,4,316.156, 184.102
9,5,308.824, 207.929
9,6,306.657, 203.889
9,7,304.627, 197.743
9,8,303.352, 185.316
9,9,282.392, 156.991
