i,j,x,y
0,0,329.269, 231.599
0,1,344.752, 231.626
0,2,334.968, 233.171
0,3,332.166, 238.483
0,4,396.669, 342.231
0,5,449.656, 331.371
0,6,498.562, 309.188
0,7,539.951, 278.317
0,8,565.245, 260.359
0,9,578.465, 244.05
1,0,344.752, 231.626
1,1,342.604, 230.4
1,2,332.569, 235.125
1,3,332.611, 238.485
1,4,410.069, 338.23
1,5,450.892, 337.961
1,6,483.859, 318.489
1,7,527.765, 267.208
1,8,556.137, 249.902
1,9,564.365, 224.67
2,0,334.968, 233.171
2,1,332.569, 235.125
2,2,331.641, 238.259
2,3,332.662, 237.837
2,4,401.633, 356.006
2,5,452.592, 329.997
2,6,513.179, 286.701
2,7,533.158, 252.284
2,8,553.135, 223.259
2,9,550.205, 206.811
3,0,332.166, 238.483
3,1,332.611, 238.485
3,2,332.66, 237.838
3,3,330.475, 237.563
3,4,382.275, 365.4
3,5,443.319, 323.167
3,6,514.191, 272.421
3,7,545.522, 228.347
3,8,532.273, 198.617
3,9,519.848, 176.527
4,0,329.633, 417.635
4,1,321.757, 414.396
4,2,320.773, 414.779
4,3,325.725, 405.099
4,4,346.918, 381.462
4,5,396.175, 335.613
4,6,495.182, 253.868
4,7,511.055, 196.21
4,8,501.408, 156.612
4,9,472.063, 136.385
5,0,296.059, 425.612
5,1,293.67, 418.399
5,2,282.703, 402.411
5,3,283.056, 389.464
5,4,297.786, 348.223
5,5,402.659, 258.593
5,6,431.702, 221.435
5,7,437.382, 140.939
5,8,409.614, 93.0398
5,9,389.613, 75.0965
6,0,241.905, 401.155
6,1,258.311, 400.908
6,2,237.105, 383.387
6,3,208.585, 339.824
6,4,172.725, 251.265
6,5,213.794, 197.264
6,6,320.72, 121.14
6,7,349.534, 87.617
6,8,367.34, 75.2072
6,9,374.612, 62.2944
7,0,191.544, 370.726
7,1,191.672, 354.449
7,2,173.476, 319.227
7,3,120.908, 255.751
7,4,122.44, 212.068
7,5,182.305, 156.884
7,6,254.458, 103.588
7,7,311.217, 73.1999
7,8,337.863, 58.592
7,9,353.872, 49.5732
8,0,162.976, 340.25
8,1,145.995, 305.62
8,2,112.701, 256.607
8,3,96.8126, 229.733
8,4,110.502, 190.572
8,5,165.656, 145.474
8,6,224.522, 92.3191
8,7,283.228, 70.7227
8,8,321.673, 54.6408
8,9,336.176, 42.6195
9,0,125.652, 308.415
9,1,104.941, 268.846
9,2,86.2222, 239.549
9,3,83.742, 206.997
9,4,107.472, 181.282
9,5,142.502, 141.758
9,6,209.656, 91.9198
9,7,278.832, 64.6475
9,8,321.844, 50.1301
9,9,324.942, 43.0525
