i,j,x,y,z
0,0,0.855577, 0.0661665, 0.0228241
0,1,2.50993, 0.375892, -0.0343796
0,2,4.54039, 0.532083, -0.0474246
0,3,6.65558, 0.512329, -0.0389023
0,4,7.60453, 0.710513, -0.0118248
0,5,8.15871, 0.80849, 0.00419437
0,6,8.33622, 0.99275, 0.109852
0,7,8.08998, 1.02321, 0.156441
0,8,7.7355, 0.883508, 0.261493
0,9,6.85116, 0.809688, 0.284578
1,0,0.888401, 0.116596, 0.0267701
1,1,2.73742, 0.727351, -0.0389465
1,2,4.78344, 1.21794, -0.0374226
1,3,6.51918, 1.59982, -0.0565085
1,4,7.54647, 1.93143, -0.0741992
1,5,8.0456, 2.01425, -0.0150491
1,6,8.1812, 2.13715, 0.0914053
1,7,7.99349, 2.14937, 0.167548
1,8,7.71205, 2.02933, 0.269897
1,9,7.00787, 2.02638, 0.263672
2,0,0.852096, 0.18592, 0.0414455
2,1,2.81059, 1.12789, -0.039505
2,2,4.76142, 2.00782, -0.0266743
2,3,6.29441, 2.71104, -0.0412539
2,4,7.16357, 3.15714, -0.0959707
2,5,7.49856, 3.32207, -0.0358322
2,6,7.62514, 3.34102, 0.0783892
2,7,7.41462, 3.38369, 0.155266
2,8,7.108, 3.28216, 0.3089
2,9,6.48365, 3.26159, 0.320217
3,0,0.765767, 0.219557, 0.0447184
3,1,2.69007, 1.52083, 0.00301449
3,2,4.44177, 2.82854, 0.0662263
3,3,5.8393, 3.87435, 0.114131
3,4,6.34897, 4.46682, 0.0795632
3,5,6.51508, 4.68691, 0.116941
3,6,6.62266, 4.68334, 0.180013
3,7,6.37314, 4.74312, 0.237531
3,8,6.02855, 4.64234, 0.37643
3,9,5.48363, 4.60739, 0.389205
4,0,0.384271, 0.258286, 0.0382925
4,1,1.9673, 1.95476, 0.0314635
4,2,3.35836, 3.66924, 0.129833
4,3,4.43242, 5.03613, 0.197235
4,4,4.92797, 5.97904, 0.258731
4,5,4.94597, 6.34431, 0.293616
4,6,4.93076, 6.44599, 0.330828
4,7,4.67293, 6.49767, 0.379269
4,8,4.25405, 6.42496, 0.513233
4,9,3.79424, 6.22977, 0.532887
5,0,0.313294, 0.226074, 0.0320769
5,1,1.60261, 1.90326, 0.0597715
5,2,2.65119, 3.92286, 0.164938
5,3,3.44724, 5.60014, 0.283516
5,4,3.95279, 6.70045, 0.363537
5,5,3.70665, 7.29877, 0.445731
5,6,3.44894, 7.57389, 0.512029
5,7,3.06396, 7.72059, 0.553631
5,8,2.5452, 7.70586, 0.645309
5,9,2.34777, 7.29685, 0.6396
6,0,0.242418, 0.177203, 0.0339692
6,1,1.2081, 1.75218, 0.0918066
6,2,1.92656, 3.97056, 0.284007
6,3,2.37255, 5.96841, 0.466395
6,4,2.56664, 7.36234, 0.630472
6,5,2.32098, 8.05066, 0.697533
6,6,2.08646, 8.35948, 0.733846
6,7,1.78454, 8.49622, 0.745539
6,8,1.37317, 8.44717, 0.752051
6,9,1.25061, 7.95248, 0.654275
7,0,0.0152, 0.0011, 0.018
7,1,0.639284, 1.37051, 0.0777709
7,2,1.11956, 3.60149, 0.288532
7,3,1.39113, 5.78106, 0.513731
7,4,1.48442, 7.44254, 0.705899
7,5,1.39298, 8.24474, 0.786409
7,6,1.21813, 8.6275, 0.834127
7,7,1.10564, 8.69556, 0.835176
7,8,0.796196, 8.58875, 0.797219
7,9,0.734424, 7.95566, 0.657976
8,0,0.0046, 0.0156, 0.0016
8,1,0.385521, 0.98949, 0.05846
8,2,0.69645, 2.97525, 0.280254
8,3,0.831948, 5.0586, 0.519445
8,4,0.858798, 6.80838, 0.753205
8,5,0.816582, 7.98602, 0.846985
8,6,0.728317, 8.46866, 0.884169
8,7,0.724785, 8.53248, 0.810019
8,8,0.58992, 8.31315, 0.731284
8,9,0.55311, 7.51002, 0.617838
9,0,0.0095, 0.0027, 0.0062
9,1,0.156036, 0.634859, 0.0573081
9,2,0.302209, 2.23907, 0.259193
9,3,0.316861, 4.06283, 0.493602
9,4,0.326724, 5.81933, 0.754404
9,5,0.328939, 7.25084, 0.956198
9,6,0.338607, 7.88015, 0.874045
9,7,0.406532, 7.93156, 0.769209
9,8,0.452988, 7.54124, 0.638122
9,9,0.386579, 6.36921, 0.509234
