306,35
306,35
307,35
306,35
306,34
306,34
321,233
321,234
322,233
323,232
323,232
325,231
326,231
326,231
328,230
330,230
330,229
331,229
331,229
330,230
331,231
330,231
328,233
329,234
329,233
329,233
329,234
329,234
327,232
326,233
326,233
326,233
326,233
326,233
326,233
326,233
326,233
324,232
324,231
325,230
326,229
326,229
324,223
325,222
325,222
328,220
328,220
328,215
328,214
328,214
328,213
329,210
329,209
329,206
329,203
329,201
329,201
331,196
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
332,194
340,82
339,77
338,75
337,73
337,73
337,73
340,71
340,72
340,73
340,74
338,76
337,77
338,77
338,78
340,77
340,76
341,74
340,73
340,73
339,73
339,73
340,75
341,77
340,79
341,81
341,82
340,82
339,82
339,83
339,83
342,83
342,84
344,84
344,85
344,84
342,84
344,82
344,82
344,79
344,79
345,78
345,78
345,74
345,73
344,74
344,73
344,72
343,71
344,70
342,69
343,69
344,68
343,67
344,66
344,65
343,63
343,62
342,61
342,59
341,57
340,55
342,55
342,53
341,52
342,51
342,50
342,49
342,49
342,47
343,48
345,47
345,47
345,45
345,44
344,43
341,41
342,39
342,39
342,37
342,36
342,35
341,34
341,32
341,33
341,33
342,32
341,32
340,31
339,31
339,32
338,31
338,31
338,32
338,32
339,31
339,31
339,32
338,32
338,32
339,31
339,31
339,31
339,31
340,31
340,31
340,31
340,32
339,32
339,31
338,32
337,32
335,32
337,33
337,33
337,33
337,33
337,34
338,34
338,35
337,35
337,34
337,34
337,34
338,34
337,34
337,34
338,35
338,35
340,34
340,35
342,34
340,34
342,34
342,34
341,34
340,34
