x,y,r,g,b
0,0,0.0098, 0.0093, 0.0188
0,1,0.0108, 0.0185, 0.0191
0,2,-0.292714, 0.0583273, 0.0308891
0,3,-0.706361, 0.0557855, 0.0728236
0,4,-1.56922, 0.0772359, 0.208083
0,5,-2.18126, 0.112583, 0.302419
0,6,-2.48836, 0.115782, 0.353774
0,7,-2.56633, 0.114624, 0.37861
0,8,-2.34873, 0.102177, 0.350907
0,9,-1.73623, 0.0538245, 0.276935
1,0,0.0172, 0.0158, 0.0182
1,1,-0.259636, 0.155607, 0.044786
1,2,-1.04449, 0.291327, 0.125588
1,3,-2.01112, 0.320376, 0.263745
1,4,-3.40168, 0.332933, 0.483671
1,5,-4.44632, 0.342168, 0.650371
1,6,-5.08638, 0.286888, 0.755484
1,7,-5.22609, 0.232812, 0.800734
1,8,-4.70839, 0.0707292, 0.735299
1,9,-3.62233, -0.0224151, 0.587788
2,0,0.0049, 0.0071, 0.0123
2,1,-0.64219, 0.323961, 0.0926677
2,2,-1.93333, 0.611197, 0.240887
2,3,-3.4666, 0.694047, 0.440745
2,4,-5.27851, 0.736764, 0.717939
2,5,-6.5645, 0.695076, 0.916522
2,6,-7.31713, 0.53852, 1.05824
2,7,-7.60279, 0.443771, 1.16382
2,8,-6.86886, 0.110601, 1.05155
2,9,-5.54274, -0.051615, 0.870671
3,0,-0.142536, 0.238386, 0.05367
3,1,-1.24914, 0.805747, 0.196202
3,2,-3.01537, 1.31199, 0.408102
3,3,-4.92739, 1.5419, 0.663541
3,4,-6.82067, 1.5747, 0.932945
3,5,-8.11446, 1.37825, 1.09132
3,6,-8.69018, 0.958285, 1.22187
3,7,-8.8392, 0.570202, 1.29004
3,8,-8.4153, 0.158423, 1.24396
3,9,-7.13816, -0.111315, 1.08243
4,0,-0.426902, 0.871904, 0.203625
4,1,-1.81927, 1.79551, 0.423417
4,2,-3.84952, 2.47774, 0.67672
4,3,-5.89741, 2.6882, 0.905549
4,4,-7.67749, 2.63597, 1.10354
4,5,-8.64232, 2.04032, 1.24709
4,6,-9.17262, 1.30446, 1.33125
4,7,-9.34472, 0.722049, 1.36075
4,8,-9.09799, 0.0893313, 1.3621
4,9,-8.26064, -0.171847, 1.21439
5,0,-0.747995, 1.67359, 0.372462
5,1,-2.30261, 2.94708, 0.672927
5,2,-4.24921, 3.789, 0.944689
5,3,-6.17523, 3.87952, 1.12583
5,4,-7.76564, 3.47509, 1.25589
5,5,-8.60988, 2.72577, 1.31718
5,6,-9.26613, 1.63419, 1.36474
5,7,-9.53157, 0.893196, 1.38551
5,8,-9.4013, 0.148728, 1.38719
5,9,-8.7616, -0.158106, 1.29043
6,0,-0.930621, 2.57667, 0.556952
6,1,-2.47384, 4.16188, 0.926535
6,2,-4.13598, 5.11552, 1.19881
6,3,-5.72771, 5.18245, 1.33413
6,4,-7.1161, 4.47776, 1.35559
6,5,-8.08309, 3.53024, 1.38176
6,6,-9.12855, 2.05219, 1.35235
6,7,-9.49888, 1.13393, 1.36258
6,8,-9.47212, 0.291753, 1.35201
6,9,-8.95739, -0.134066, 1.27475
7,0,-1.01543, 2.9743, 0.649563
7,1,-2.46338, 4.74838, 1.05344
7,2,-3.79545, 5.95535, 1.35839
7,3,-4.9459, 5.94202, 1.44673
7,4,-6.20564, 5.25414, 1.44404
7,5,-7.31772, 4.24319, 1.43595
7,6,-8.63914, 2.59287, 1.36695
7,7,-9.16455, 1.5136, 1.35002
7,8,-9.2154, 0.522606, 1.32858
7,9,-8.75616, -0.0204588, 1.2424
8,0,-0.963472, 3.12609, 0.667989
8,1,-2.04013, 4.96081, 1.08782
8,2,-2.98252, 6.39435, 1.41259
8,3,-3.90745, 6.51795, 1.47463
8,4,-5.03134, 5.96928, 1.46954
8,5,-6.2179, 4.96984, 1.41443
8,6,-7.76596, 3.25087, 1.31587
8,7,-8.59194, 1.94513, 1.26577
8,8,-8.76781, 0.909871, 1.23307
8,9,-8.31686, 0.280254, 1.15125
9,0,-0.801972, 2.93711, 0.630441
9,1,-1.51056, 4.6878, 1.008
9,2,-1.95824, 6.27287, 1.31611
9,3,-2.87922, 6.64069, 1.43037
9,4,-3.84361, 6.33928, 1.44306
9,5,-4.91874, 5.49749, 1.38321
9,6,-6.46567, 3.83321, 1.28148
9,7,-7.60053, 2.27901, 1.18485
9,8,-7.89718, 1.14008, 1.14861
9,9,-7.41838, 0.470842, 1.06831
