x,y,r,g,b
0,0,-1.25604, 1.3304, 0.36376
0,1,-2.45839, 1.84937, 0.528932
0,2,-4.09061, 2.04764, 0.707164
0,3,-5.64801, 1.94, 0.892886
0,4,-7.04116, 1.6724, 1.06866
0,5,-8.27711, 1.04177, 1.22671
0,6,-8.78573, 0.467135, 1.27718
0,7,-8.71442, 0.302278, 1.25954
0,8,-8.23998, 0.0835679, 1.18597
0,9,-6.907, -0.0400319, 1.00982
1,0,-1.99633, 2.82514, 0.708098
1,1,-3.42233, 3.54022, 0.922314
1,2,-5.089, 3.6726, 1.09364
1,3,-6.4873, 3.35449, 1.21034
1,4,-7.85216, 2.66394, 1.26873
1,5,-8.86125, 1.70532, 1.27884
1,6,-9.44784, 0.704768, 1.31897
1,7,-9.41159, 0.334547, 1.33155
1,8,-9.06669, 0.00542266, 1.32228
1,9,-8.16478, -0.162259, 1.21653
2,0,-2.43667, 4.42812, 1.05927
2,1,-3.82883, 5.20999, 1.29727
2,2,-5.41222, 5.24608, 1.42287
2,3,-6.53111, 4.69213, 1.44551
2,4,-7.75755, 3.71249, 1.41583
2,5,-8.89056, 2.33917, 1.3238
2,6,-9.66779, 0.932347, 1.32898
2,7,-9.69052, 0.420197, 1.35565
2,8,-9.44844, 0.041781, 1.34616
2,9,-8.72453, -0.189972, 1.27471
3,0,-2.52412, 5.87841, 1.3448
3,1,-3.63297, 6.62955, 1.60137
3,2,-4.96404, 6.36341, 1.62059
3,3,-5.99744, 5.72485, 1.58305
3,4,-7.38683, 4.50666, 1.52729
3,5,-8.70553, 2.9205, 1.3739
3,6,-9.71067, 1.19477, 1.33405
3,7,-9.80603, 0.516957, 1.35399
3,8,-9.62768, 0.0697798, 1.36286
3,9,-9.00498, -0.176499, 1.31365
4,0,-2.32089, 7.02445, 1.50715
4,1,-3.42994, 7.38802, 1.69659
4,2,-4.33133, 7.231, 1.71309
4,3,-5.30474, 6.61344, 1.66141
4,4,-6.85829, 5.34256, 1.5683
4,5,-8.35285, 3.62311, 1.38568
4,6,-9.54602, 1.63418, 1.31574
4,7,-9.72684, 0.714995, 1.31761
4,8,-9.59092, 0.0613747, 1.35125
4,9,-9.04032, -0.218094, 1.30138
5,0,-2.19459, 7.60305, 1.58575
5,1,-2.96855, 7.89172, 1.73731
5,2,-3.79347, 7.7146, 1.7686
5,3,-4.70031, 7.1773, 1.7468
5,4,-6.37049, 5.89532, 1.67868
5,5,-8.0443, 4.11689, 1.48334
5,6,-9.3449, 2.02878, 1.40336
5,7,-9.65096, 0.893612, 1.37427
5,8,-9.56394, 0.0966905, 1.37563
5,9,-9.03832, -0.195035, 1.31371
6,0,-1.72012, 8.00434, 1.6256
6,1,-2.3186, 8.32524, 1.76826
6,2,-2.99232, 8.22447, 1.79794
6,3,-3.83582, 7.74327, 1.7788
6,4,-5.63147, 6.44691, 1.72149
6,5,-7.5416, 4.58831, 1.53993
6,6,-9.09241, 2.40328, 1.43164
6,7,-9.52895, 1.12742, 1.38384
6,8,-9.50189, 0.254487, 1.36584
6,9,-9.01652, -0.151671, 1.29369
7,0,-1.38559, 7.95752, 1.56813
7,1,-1.93719, 8.36004, 1.70707
7,2,-2.56366, 8.30765, 1.76008
7,3,-3.34145, 7.89379, 1.75281
7,4,-5.10031, 6.64957, 1.70786
7,5,-6.98011, 4.87802, 1.55214
7,6,-8.61705, 2.80411, 1.42481
7,7,-9.16455, 1.5136, 1.35002
7,8,-9.2154, 0.522606, 1.32858
7,9,-8.75616, -0.0204588, 1.2424
8,0,-1.00652, 7.65583, 1.49824
8,1,-1.44919, 8.19225, 1.65271
8,2,-2.01858, 8.27208, 1.71579
8,3,-2.75255, 7.95202, 1.70379
8,4,-4.2775, 6.89803, 1.65162
8,5,-6.07148, 5.29169, 1.48621
8,6,-7.76341, 3.34334, 1.35078
8,7,-8.59194, 1.94513, 1.26577
8,8,-8.76781, 0.909871, 1.23307
8,9,-8.31686, 0.280254, 1.15125
9,0,-0.794616, 6.87122, 1.3534
9,1,-1.10823, 7.58024, 1.50085
9,2,-1.46147, 7.87362, 1.58069
9,3,-2.17651, 7.73395, 1.5961
9,4,-3.42058, 6.93305, 1.54674
9,5,-4.86093, 5.60991, 1.39707
9,6,-6.46567, 3.83321, 1.28148
9,7,-7.60053, 2.27901, 1.18485
9,8,-7.89718, 1.14008, 1.14861
9,9,-7.41838, 0.470842, 1.06831
