x,y,r,g,b
0,0,0.0098, 0.0093, 0.0188
0,1,0.0108, 0.0185, 0.0191
0,2,0.0197, 0.0082, 0.0071
0,3,0.0115, 0.0167, 0.0074
0,4,0.0097, 0.0178, 0.0018
0,5,0.0142, 0.0182, 0.0081
0,6,0.0189, 0.0094, 0.004
0,7,0.0127, 0.005, 0.0097
0,8,0.0009, 0.0024, 0.0112
0,9,0.0066, 0.0082, 0.0111
1,0,0.0172, 0.0158, 0.0182
1,1,0.0161, 0.0044, 0.0168
1,2,0.0153, 0.0042, 0.0051
1,3,0.0003, 0.0157, 0.0196
1,4,0.0077, 0.0032, 0.0175
1,5,0.0073, 0.0174, 0.0158
1,6,0.0154, 0.0141, 0.0053
1,7,0.0172, 0.0046, 0.008
1,8,0.007, 0.0055, 0.0105
1,9,0.0159, 0.0098, 0.0164
2,0,0.0049, 0.0071, 0.0123
2,1,0.0032, 0.0011, 0.0144
2,2,0.0177, 0.0164, 0.0187
2,3,0.0007, 0.0144, 0.0122
2,4,0.0004, 0.0023, 0.0155
2,5,0.0179, 0.0073, 0.0107
2,6,0.0139, 0.0005, 0.005
2,7,0.0169, 0.0177, 0.0096
2,8,0.0051, 0.0026, 0.0129
2,9,0.0133, 0.0162, 0.0005
3,0,0.0098, 0.0012, 0.0054
3,1,0.0023, 0.0021, 0.0065
3,2,0.0167, 0, 0.0007
3,3,0.0132, 0.0007, 0.0152
3,4,-0.304565, -0.0100902, 0.0625657
3,5,-0.708247, -0.0451025, 0.0886469
3,6,-1.18366, -0.0936924, 0.140338
3,7,-1.39025, -0.116061, 0.160139
3,8,-1.46457, -0.12036, 0.166215
3,9,-1.38908, -0.101757, 0.168284
4,0,0.0128911, 0.298735, 0.0765113
4,1,0.0194781, 0.393502, 0.0981687
4,2,-0.198831, 0.671671, 0.160252
4,3,-0.264171, 0.780914, 0.181177
4,4,-0.962338, 0.791439, 0.274718
4,5,-1.84679, 0.691721, 0.342843
4,6,-2.79698, 0.495585, 0.442894
4,7,-3.33059, 0.123058, 0.436707
4,8,-3.47535, 0.0366973, 0.431608
4,9,-3.15348, -0.164738, 0.366359
5,0,0.0160136, 0.677831, 0.136829
5,1,-0.0541934, 1.17448, 0.24194
5,2,-0.336529, 1.95368, 0.393293
5,3,-0.651902, 2.41047, 0.470306
5,4,-1.75509, 2.42334, 0.60585
5,5,-3.11252, 2.03793, 0.697812
5,6,-4.53195, 1.46047, 0.797929
5,7,-5.48383, 0.598854, 0.768152
5,8,-5.70065, 0.236412, 0.740457
5,9,-5.26601, -0.149352, 0.641061
6,0,-0.0294802, 1.11619, 0.224471
6,1,-0.217073, 2.09949, 0.437463
6,2,-0.576239, 3.41445, 0.693099
6,3,-1.00774, 4.30081, 0.86155
6,4,-2.39862, 4.23449, 0.989971
6,5,-4.07991, 3.50497, 1.06001
6,6,-5.81116, 2.36363, 1.11811
6,7,-7.26702, 0.909003, 1.07728
6,8,-7.55038, 0.372882, 0.99134
6,9,-7.12011, -0.118294, 0.89632
7,0,-0.0345019, 1.30741, 0.272594
7,1,-0.287123, 2.55843, 0.536031
7,2,-0.668074, 4.22889, 0.855764
7,3,-1.08342, 5.57643, 1.11975
7,4,-2.58241, 5.28299, 1.19187
7,5,-4.4931, 4.4461, 1.24106
7,6,-6.19457, 2.88544, 1.23232
7,7,-7.73803, 1.25833, 1.15725
7,8,-8.06671, 0.495985, 1.10385
7,9,-7.68683, -0.0378143, 1.01982
8,0,-0.0466499, 1.39481, 0.278168
8,1,-0.33381, 2.75904, 0.573931
8,2,-0.74925, 4.59645, 0.928865
8,3,-1.2297, 6.07327, 1.20689
8,4,-2.57652, 6.01841, 1.32873
8,5,-4.2905, 4.94607, 1.30885
8,6,-6.23124, 3.2913, 1.28819
8,7,-7.71865, 1.52117, 1.20842
8,8,-8.09178, 0.671247, 1.17416
8,9,-7.71681, 0.158407, 1.07287
9,0,-0.053947, 1.31165, 0.274445
9,1,-0.36731, 2.63277, 0.562081
9,2,-0.76531, 4.38492, 0.89311
9,3,-1.29899, 5.85658, 1.19872
9,4,-2.51814, 5.88928, 1.31329
9,5,-3.97257, 4.96801, 1.28976
9,6,-5.76197, 3.47797, 1.27801
9,7,-7.24728, 1.75314, 1.17264
9,8,-7.62268, 0.840845, 1.14956
9,9,-7.22391, 0.305757, 1.07517
