x,y,r,g,b
0,0,-0.246141, 0.168006, 0.0491835
0,1,-0.960251, 0.491108, 0.153824
0,2,-2.26708, 0.792, 0.256313
0,3,-3.72218, 0.94476, 0.420041
0,4,-5.14667, 1.05848, 0.586447
0,5,-6.09583, 1.06393, 0.687907
0,6,-6.60247, 0.870227, 0.767518
0,7,-6.42525, 0.587686, 0.770689
0,8,-5.69529, 0.266979, 0.695362
0,9,-4.45062, 0.051097, 0.593351
1,0,-0.589598, 0.365091, 0.112165
1,1,-1.79123, 0.918133, 0.278954
1,2,-3.60946, 1.35752, 0.45282
1,3,-5.41439, 1.56382, 0.671983
1,4,-6.94612, 1.64343, 0.838717
1,5,-7.98898, 1.53975, 0.913622
1,6,-8.41657, 1.15861, 1.0045
1,7,-8.30204, 0.711651, 1.01875
1,8,-7.57176, 0.247672, 0.962771
1,9,-6.32022, -0.0335429, 0.869368
2,0,-0.971844, 0.620976, 0.200423
2,1,-2.65405, 1.42411, 0.447888
2,2,-4.8095, 2.01422, 0.672677
2,3,-6.69812, 2.26299, 0.893742
2,4,-8.07233, 2.33812, 1.03424
2,5,-8.76813, 1.91972, 1.06751
2,6,-9.13598, 1.33846, 1.14794
2,7,-9.15635, 0.760866, 1.17229
2,8,-8.79122, 0.240252, 1.1293
2,9,-7.83842, -0.132694, 1.08143
3,0,-1.28322, 1.34747, 0.386442
3,1,-3.2525, 2.33284, 0.686425
3,2,-5.47082, 2.97876, 0.927165
3,3,-7.2445, 3.2476, 1.1164
3,4,-8.30461, 2.94581, 1.21366
3,5,-9.06712, 2.24041, 1.18113
3,6,-9.39625, 1.5491, 1.23047
3,7,-9.52837, 0.775043, 1.24517
3,8,-9.30529, 0.206464, 1.23528
3,9,-8.55075, -0.140349, 1.20594
4,0,-1.54155, 2.83067, 0.688659
4,1,-3.38267, 3.84128, 0.991271
4,2,-5.39514, 4.27191, 1.1948
4,3,-7.03186, 4.19976, 1.3328
4,4,-8.1867, 3.58918, 1.3375
4,5,-9.10331, 2.57339, 1.29168
4,6,-9.46274, 1.73769, 1.31546
4,7,-9.66882, 0.827395, 1.30536
4,8,-9.52453, 0.147483, 1.31649
4,9,-8.91211, -0.161771, 1.26034
5,0,-1.57414, 4.4847, 1.00954
5,1,-3.06841, 5.43739, 1.29624
5,2,-4.63486, 5.65203, 1.44466
5,3,-6.12214, 5.37263, 1.54229
5,4,-7.56512, 4.45166, 1.50558
5,5,-8.81646, 3.10795, 1.40057
5,6,-9.33234, 1.98811, 1.40453
5,7,-9.65096, 0.893612, 1.37427
5,8,-9.56394, 0.0966905, 1.37563
5,9,-9.03832, -0.195035, 1.31371
6,0,-1.41696, 5.87186, 1.24351
6,1,-2.39656, 6.88119, 1.54916
6,2,-3.62715, 6.84757, 1.60891
6,3,-4.95319, 6.44351, 1.63231
6,4,-6.56093, 5.40023, 1.58913
6,5,-8.19548, 3.83643, 1.47968
6,6,-9.09241, 2.40328, 1.43164
6,7,-9.52895, 1.12742, 1.38384
6,8,-9.50189, 0.254487, 1.36584
6,9,-9.01652, -0.151671, 1.29369
7,0,-1.04209, 6.68502, 1.3346
7,1,-1.87457, 7.48137, 1.5757
7,2,-2.8324, 7.54418, 1.67324
7,3,-3.93885, 7.09968, 1.67726
7,4,-5.5707, 6.03707, 1.63273
7,5,-7.41113, 4.37721, 1.50923
7,6,-8.61705, 2.80411, 1.42481
7,7,-9.16455, 1.5136, 1.35002
7,8,-9.2154, 0.522606, 1.32858
7,9,-8.75616, -0.0204588, 1.2424
8,0,-0.843918, 6.72085, 1.31903
8,1,-1.43016, 7.5731, 1.55347
8,2,-2.16521, 7.8036, 1.65618
8,3,-3.06089, 7.5003, 1.65213
8,4,-4.4944, 6.59699, 1.61144
8,5,-6.27687, 5.02334, 1.45679
8,6,-7.76341, 3.34334, 1.35078
8,7,-8.59194, 1.94513, 1.26577
8,8,-8.76781, 0.909871, 1.23307
8,9,-8.31686, 0.280254, 1.15125
9,0,-0.729375, 5.91843, 1.16345
9,1,-1.109, 7.08765, 1.41004
9,2,-1.49785, 7.5694, 1.53184
9,3,-2.28411, 7.49352, 1.56353
9,4,-3.43765, 6.83782, 1.53443
9,5,-4.91874, 5.49749, 1.38321
9,6,-6.46567, 3.83321, 1.28148
9,7,-7.60053, 2.27901, 1.18485
9,8,-7.89718, 1.14008, 1.14861
9,9,-7.41838, 0.470842, 1.06831
