198 2
59 228 
59 228 
58 229 
60 229 
60 229 
323 227 
324 228 
323 228 
324 229 
324 230 
325 230 
326 231 
325 232 
327 233 
327 232 
329 232 
331 232 
331 231 
331 229 
331 229 
332 230 
331 231 
331 231 
330 232 
331 233 
331 233 
335 234 
336 234 
336 235 
337 236 
336 235 
335 236 
335 235 
333 235 
334 235 
333 235 
332 235 
332 235 
332 236 
330 236 
331 237 
330 238 
329 239 
330 241 
327 243 
321 249 
320 253 
315 259 
310 263 
305 268 
300 273 
290 281 
285 285 
280 288 
275 292 
270 295 
261 300 
257 303 
252 305 
248 307 
243 310 
239 313 
228 320 
221 323 
216 325 
210 328 
204 332 
192 339 
187 342 
182 345 
177 350 
172 353 
167 356 
163 359 
153 365 
146 368 
142 370 
138 372 
133 374 
128 376 
124 378 
119 383 
115 386 
113 388 
110 391 
109 394 
105 395 
103 396 
99 398 
97 398 
95 398 
95 398 
93 398 
93 398 
93 398 
89 398 
87 399 
84 400 
82 400 
79 401 
79 402 
77 403 
77 403 
76 404 
75 405 
75 406 
73 407 
71 408 
71 409 
71 410 
71 410 
69 410 
70 410 
69 411 
69 411 
68 411 
69 410 
67 410 
68 409 
67 410 
67 410 
67 411 
67 410 
65 411 
65 412 
65 411 
67 410 
67 410 
67 410 
66 410 
66 410 
66 411 
66 411 
65 412 
66 411 
64 411 
64 411 
63 411 
62 412 
64 411 
65 410 
64 410 
64 410 
64 411 
63 412 
64 411 
64 411 
64 411 
63 411 
64 411 
62 411 
62 411 
61 412 
61 413 
60 413 
60 413 
60 414 
60 414 
59 414 
59 414 
58 415 
58 416 
58 415 
59 416 
58 415 
58 415 
57 416 
57 415 
58 416 
58 416 
58 416 
58 416 
58 416 
58 416 
59 416 
58 416 
58 417 
59 416 
60 416 
59 416 
59 417 
59 418 
59 418 
58 417 
60 418 
58 417 
59 418 
58 418 
58 418 
58 418 
58 418 
57 417 
58 417 
59 417 
60 417 
58 417 
59 418 
58 418 
