i,j,x,y
0,0,288.658, 225.458
0,1,278.137, 231.196
0,2,284.775, 239.529
0,3,298.506, 242.816
0,4,423.435, 357.794
0,5,457.316, 334.258
0,6,502.887, 297.292
0,7,529.952, 273.251
0,8,552.087, 255.666
0,9,561.893, 242.626
1,0,278.137, 231.196
1,1,279.051, 235.098
1,2,287.92, 240.83
1,3,300.579, 242.823
1,4,413.419, 358.983
1,5,456.161, 325.165
1,6,508.58, 281.666
1,7,530.117, 260.084
1,8,543.513, 244.205
1,9,552.381, 227.557
2,0,284.775, 239.529
2,1,287.92, 240.83
2,2,296.216, 242.665
2,3,305.728, 242.351
2,4,402.573, 349.149
2,5,449.162, 309.964
2,6,496.232, 266.67
2,7,512.789, 242.622
2,8,526.492, 222.17
2,9,533.146, 207.959
3,0,298.506, 242.816
3,1,300.579, 242.823
3,2,305.728, 242.351
3,3,311.885, 241.063
3,4,380.095, 331.477
3,5,426.745, 290.352
3,6,464.14, 255.292
3,7,485.397, 222.664
3,8,500.734, 197.723
3,9,505.405, 180.457
4,0,260.656, 382.431
4,1,257.672, 378.325
4,2,265.916, 365.844
4,3,295.456, 339.15
4,4,342.008, 299.029
4,5,405.287, 258.374
4,6,451.401, 228.842
4,7,464.067, 194.9
4,8,472.79, 170.813
4,9,469.851, 148.338
5,0,221.296, 376.774
5,1,210.782, 362.241
5,2,218.378, 341.584
5,3,243.418, 305.893
5,4,283.6, 255.623
5,5,364.903, 216.684
5,6,420.042, 202.629
5,7,442.515, 180.042
5,8,431.681, 140.363
5,9,423.385, 111.672
6,0,178.306, 340.16
6,1,167.41, 321.248
6,2,174.383, 303.81
6,3,193.257, 271.379
6,4,228.377, 235.331
6,5,283.879, 203.212
6,6,345.626, 165.032
6,7,373.36, 142.978
6,8,387.354, 116.2
6,9,392.368, 91.3582
7,0,147.117, 309.02
7,1,125.981, 276.743
7,2,132.007, 264.517
7,3,147.437, 239.925
7,4,179.954, 215.116
7,5,224.753, 190.685
7,6,279.975, 148.201
7,7,320.141, 116.574
7,8,349.47, 90.9692
7,9,363.281, 73.0526
8,0,119.553, 282
8,1,106.944, 256.096
8,2,105.485, 240.672
8,3,121.139, 220.962
8,4,148.033, 195.001
8,5,187.377, 167.964
8,6,233.439, 129.789
8,7,279.614, 98.1443
8,8,315.012, 74.4193
8,9,335.66, 58.8513
9,0,98.78, 258.904
9,1,93.6315, 244.223
9,2,92.1116, 231.27
9,3,103.786, 209.252
9,4,127.685, 182.196
9,5,165.069, 151.56
9,6,207.072, 114.598
9,7,252.43, 86.5068
9,8,289.538, 67.5177
9,9,316.376, 53.6607
