i,j,x,y
0,0,355.521, 265.01
0,1,353.074, 237.11
0,2,332.798, 236.605
0,3,340.305, 238.096
0,4,370.903, 370.841
0,5,440.385, 342.998
0,6,495.02, 316.218
0,7,543.759, 280.626
0,8,570.522, 262.934
0,9,584.133, 245.021
1,0,353.074, 237.11
1,1,339.717, 237.099
1,2,332.009, 235.409
1,3,343.936, 230.61
1,4,365.189, 364.228
1,5,443.147, 349.015
1,6,463.411, 341.209
1,7,530.93, 268.285
1,8,561.135, 253.258
1,9,567.734, 222.71
2,0,332.737, 236.872
2,1,332.137, 236.81
2,2,342.211, 237.416
2,3,359.514, 244.547
2,4,418.873, 345.339
2,5,453.287, 328.846
2,6,519.962, 285.159
2,7,536.325, 252.186
2,8,569.159, 228.81
2,9,555.426, 207.025
3,0,336.089, 247.923
3,1,336.495, 254.327
3,2,327.806, 265.48
3,3,336.713, 279.747
3,4,390.931, 367.078
3,5,445.814, 324.33
3,6,524.336, 272.872
3,7,561.34, 223.717
3,8,537.051, 198.501
3,9,521.268, 174.963
4,0,347.168, 418.073
4,1,341.939, 418.728
4,2,328.807, 423.661
4,3,331.876, 419.036
4,4,331.546, 404.787
4,5,369.077, 368.688
4,6,509.013, 258.08
4,7,515.529, 190.782
4,8,511.149, 154.627
4,9,472.373, 135.516
5,0,303.167, 432.136
5,1,303.443, 426.371
5,2,297.17, 420.956
5,3,276.246, 393.835
5,4,272.347, 381.571
5,5,278.326, 334.588
5,6,412.804, 243.443
5,7,436.863, 133.334
5,8,399.47, 80.038
5,9,376.493, 64.7218
6,0,242.784, 405.387
6,1,276.492, 413.191
6,2,248.458, 400.656
6,3,208.2, 355.032
6,4,133.804, 250.454
6,5,153.033, 205.652
6,6,304.379, 106.791
6,7,339.691, 73.9065
6,8,363.325, 70.5837
6,9,373.623, 58.1892
7,0,189.443, 375.405
7,1,195.273, 361.471
7,2,177.479, 324.236
7,3,107.911, 249.02
7,4,100.71, 208.129
7,5,168.217, 155.413
7,6,248.033, 95.5191
7,7,313.275, 65.9152
7,8,338.302, 54.4537
7,9,355.147, 46.2211
8,0,163.984, 343.802
8,1,145.306, 304.987
8,2,104.002, 250.992
8,3,85.3688, 225.803
8,4,109.62, 187.58
8,5,163.386, 140.836
8,6,222.083, 85.0868
8,7,284.691, 68.588
8,8,324.179, 53.2091
8,9,337.255, 39.4044
9,0,121.55, 308.438
9,1,93.4199, 257.189
9,2,75.8818, 233.281
9,3,73.816, 201.022
9,4,91.4975, 181.742
9,5,134.894, 141.991
9,6,208.628, 87.5406
9,7,285.316, 60.8492
9,8,329.446, 47.8298
9,9,324.278, 40.9508
