i,j,x,y
0,0,297.068, 210.08
0,1,318.599, 221.299
0,2,323.314, 236.256
0,3,329.197, 238.321
0,4,375.863, 367.955
0,5,441.078, 342.511
0,6,495.033, 316.13
0,7,543.544, 280.744
0,8,570.24, 262.86
0,9,583.782, 245.007
1,0,318.599, 221.299
1,1,318.829, 229.672
1,2,325.025, 237.924
1,3,329.337, 237.774
1,4,368.787, 362.124
1,5,443.875, 348.222
1,6,465.264, 339.789
1,7,532.483, 268.86
1,8,561.149, 253.181
1,9,567.648, 222.987
2,0,323.314, 236.256
2,1,325.025, 237.924
2,2,328.784, 238.753
2,3,332.598, 237.938
2,4,419.073, 344.891
2,5,453.752, 328.532
2,6,523.474, 283.578
2,7,536.775, 252.253
2,8,568.599, 228.837
2,9,555.268, 207.164
3,0,329.18, 238.344
3,1,329.255, 238.006
3,2,328.365, 240.748
3,3,332.529, 259.531
3,4,390.949, 366.912
3,5,444.609, 324.708
3,6,519.744, 274.008
3,7,559.768, 223.985
3,8,536.8, 198.537
3,9,521.286, 175.145
4,0,346.968, 418.211
4,1,341.686, 416.868
4,2,328.773, 422.718
4,3,331.835, 418.183
4,4,333.198, 404.105
4,5,365.608, 368.495
4,6,503.773, 258.488
4,7,513.897, 190.977
4,8,510.107, 154.635
4,9,472.319, 135.521
5,0,302.882, 431.612
5,1,302.886, 425.713
5,2,296.532, 420.163
5,3,276.033, 393.297
5,4,272.103, 380.093
5,5,279.327, 333.037
5,6,411.277, 242.607
5,7,436.004, 133.914
5,8,400.055, 80.9707
5,9,377.461, 65.4582
6,0,242.61, 405.121
6,1,273.355, 411.999
6,2,247.174, 399.294
6,3,207.069, 353.546
6,4,135.448, 251.188
6,5,155.61, 206.02
6,6,304.238, 108.344
6,7,339.977, 75.0152
6,8,363.451, 70.828
6,9,373.597, 58.4145
7,0,189.565, 375.085
7,1,194.812, 360.787
7,2,176.403, 323.21
7,3,105.613, 248.807
7,4,101.608, 208.506
7,5,168.624, 155.662
7,6,248.08, 96.1929
7,7,312.907, 66.4326
7,8,338.203, 54.7167
7,9,355.016, 46.4339
8,0,164.09, 343.773
8,1,145.671, 305.087
8,2,104.447, 248.206
8,3,85.788, 225.592
8,4,109.76, 187.699
8,5,163.37, 141.191
8,6,222.163, 85.6462
8,7,284.574, 68.6918
8,8,323.999, 53.2851
8,9,337.18, 39.6351
9,0,122.224, 308.896
9,1,97.11, 261.552
9,2,76.9385, 233.719
9,3,74.3919, 201.296
9,4,92.0593, 181.661
9,5,135.373, 141.948
9,6,208.7, 87.8618
9,7,284.864, 61.1058
9,8,328.928, 47.9834
9,9,324.355, 41.0602
