i,j,x,y
0,0,288.137, 256.806
0,1,319.944, 238.067
0,2,336.839, 233.988
0,3,341.18, 235.452
0,4,418.074, 357.175
0,5,461.623, 329.999
0,6,505.248, 295.263
0,7,535.847, 268.673
0,8,554.027, 253.649
0,9,561.792, 241.138
1,0,319.944, 238.067
1,1,328.726, 235.111
1,2,338.82, 234.13
1,3,341.103, 235.764
1,4,414.529, 356.826
1,5,466.655, 320.52
1,6,513.726, 278.831
1,7,537.723, 254.563
1,8,547.853, 240.614
1,9,552.701, 225.888
2,0,336.839, 233.988
2,1,338.82, 234.13
2,2,341.09, 235.112
2,3,340.362, 236.491
2,4,420.108, 341.022
2,5,470.425, 297.98
2,6,508.017, 255.836
2,7,521.13, 229.987
2,8,525.954, 212.165
2,9,528.074, 199.924
3,0,341.18, 235.452
3,1,341.102, 235.764
3,2,340.36, 236.491
3,3,338.659, 237.166
3,4,408.39, 317.101
3,5,452.767, 276.227
3,6,482.942, 239.83
3,7,489.457, 210.116
3,8,493.271, 188.318
3,9,498.907, 173.696
4,0,246.295, 397.06
4,1,258.244, 387.143
4,2,283.121, 366.182
4,3,333.747, 330.974
4,4,386.944, 285.638
4,5,432.314, 246.745
4,6,458.509, 215.889
4,7,454.538, 181.451
4,8,455.461, 159.091
4,9,460.019, 140.015
5,0,212.934, 369.657
5,1,222.562, 355.345
5,2,243.273, 329.565
5,3,296.666, 294.597
5,4,366.137, 250.852
5,5,393.236, 212.225
5,6,416.618, 193.165
5,7,406.067, 154.671
5,8,406.651, 128.33
5,9,411.994, 104.923
6,0,165.435, 328.118
6,1,170.776, 310.967
6,2,188.026, 289.185
6,3,232.489, 262.131
6,4,274.598, 229.34
6,5,308.294, 198.381
6,6,334.541, 166.038
6,7,354.261, 136.786
6,8,366.643, 109.048
6,9,378.658, 86.3178
7,0,127.401, 291.248
7,1,134.255, 276.872
7,2,140.871, 255.02
7,3,171.42, 234.764
7,4,203.046, 209.518
7,5,236.947, 184.888
7,6,279.859, 146.173
7,7,307.628, 115.947
7,8,329.568, 88.7782
7,9,349.367, 67.9321
8,0,110.248, 273.118
8,1,110.418, 253.532
8,2,114.1, 237.624
8,3,134.547, 217.912
8,4,159.614, 192.275
8,5,192.616, 164.844
8,6,233.365, 129.501
8,7,265.758, 99.6638
8,8,296.16, 74.2076
8,9,321.863, 56.6192
9,0,93.002, 253.528
9,1,89.2903, 240.606
9,2,88.5158, 227.963
9,3,101.239, 206.395
9,4,124.024, 181.094
9,5,158.066, 151.5
9,6,198.535, 117.827
9,7,233.122, 91.804
9,8,274.936, 71.3661
9,9,307.273, 55.6364
